Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,Clinical_Feasibility,Detection_Method,Sample_Type,N_Tissues,Tissues_List,Direction_Consistency,Predominant_Direction,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Max_Abs_Zscore_Delta,Std_Zscore_Delta,Signal_to_Noise,Age_Discrimination,P_Value,Biomarker_Score
SLIT3,Slit homolog 3 protein,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"NP, IAF, OAF, Lung",0.75,DOWN,-0.5620795055121339,0.6394948829274056,-0.4856017782545424,1.4319452203699945,0.7194541000003284,0.888861267073346,0.6394948829274056,0.21610218493480987,0.40431401394562994
CILP,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"NP, IAF, OAF, Native_Tissue",1.0,UP,0.6316081753940073,0.6316081753940073,0.3943531452521659,1.5220422364011426,0.5996168464446839,1.0533529522044118,0.6316081753940073,0.12576026237047802,0.4621652000720533
CRLF1,Cytokine receptor-like factor 1,Secreted Factors,Matrisome-associated,2,ELISA,Blood,4,"NP, IAF, OAF, Lung",1.0,UP,0.7718434987925169,0.7718434987925169,0.8063678779220593,1.1659254515648922,0.36716268537451113,2.1021839351818272,0.7718434987925169,0.024564365378598768,0.5733200882810177
CLEC3A,C-type lectin domain family 3 member A,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"NP, IAF, OAF",1.0,DOWN,-0.7942434790763403,0.7942434790763403,-0.616580148458698,1.445673692940117,0.5832583656671869,1.3617352546119221,0.7942434790763403,0.14235579636746973,0.4049009422247041
FCN3,Ficolin-3,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"NP, IAF, OAF",1.0,UP,0.6303325475721668,0.6303325475721668,0.509413598922137,0.9363181424811092,0.2669253078971057,2.361456665679476,0.6303325475721668,0.05489884136306636,0.3890599979995184
ECM2,Extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"NP, IAF, OAF, Skin dermis",1.0,DOWN,-0.2609506916035267,0.2609506916035267,-0.2939785554466939,0.3553112375330097,0.11253475608019692,2.318845312265683,0.2609506916035267,0.018891305743394034,0.41725347316618966
SEMA3D,Semaphorin-3D,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"NP, IAF, OAF",0.6666666666666666,UP,0.0835970652270851,0.0870891047358389,0.0964075413372262,0.1596217136071598,0.0831731170591635,1.047082372467655,0.0870891047358389,0.22383124839770763,0.22401357420393841
WISP3,WNT1-inducible-signaling pathway protein 3,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,2,"NP, IAF",0.5,DOWN,-0.05206601377218022,0.2097221313076636,-0.05206601377218022,0.2617881450798438,0.29659188242508894,0.7071067811865476,0.2097221313076636,,0.21145831969614956
MATN4,Matrilin-4,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"NP, IAF, OAF, Lung",0.75,DOWN,-0.1963702327045801,0.24932183937822977,-0.21150121005482125,0.4683817240559772,0.27037822691659275,0.9221224734754306,0.24932183937822977,0.2422850508730151,0.343169770819433
EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,4,"NP, IAF, OAF, Ovary",0.75,DOWN,0.030969249685610194,0.0754697675276287,-0.02506803832379955,0.2128780344264778,0.12145502739287399,0.6213803507985266,0.0754697675276287,0.6452219573895821,0.27679826939018615
F13A1,Coagulation factor XIII A chain,ECM Regulators,Matrisome-associated,2,ELISA,Blood,9,"NP, IAF, OAF, Lung, Ovary",0.6666666666666666,UP,0.18216562088947466,0.5573696737586272,0.1161552003303691,1.1585126738020426,0.7199339026972349,0.7741956194456738,0.5573696737586272,0.46956991508946755,0.4299817928881807
F2,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,ECM Regulators,Matrisome-associated,5,ELISA or proximity assay,Blood,13,"NP, IAF, OAF, Lung, Skeletal_muscle_Soleus",0.7857142857142857,UP,0.4784004036981658,0.6507019888596577,0.17031979570115954,2.2662605809177805,0.8856013941787313,0.734757186626937,0.6507019888596577,0.06434251283519883,0.7483139041882859
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",ECM Regulators,Matrisome-associated,5,ELISA or proximity assay,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.5,DOWN,0.6738969372783365,0.8255683529628411,0.033277037025983905,2.66376640893791,1.1974618475256902,0.6894318634607934,0.8255683529628411,0.10883831420143472,0.7129514215242827
F12,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,ECM Regulators,Matrisome-associated,4,ELISA or proximity assay,Blood,6,"NP, OAF, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_TA",0.8571428571428571,UP,0.34510577740472914,0.34769950557955315,0.1170466823190659,1.135517732236518,0.44620947621480817,0.7792293174252721,0.34769950557955315,0.08668880715839113,0.6349146165496654
SERPINC1,Antithrombin-III,ECM Regulators,Matrisome-associated,3,ELISA,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.7,UP,0.569456682828884,0.9267061881979057,0.08672346787604995,3.0125885630073665,1.28569884352524,0.7207801367052511,0.9267061881979057,0.19484797196721862,0.599521131032964
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"NP, IAF, OAF, Native_Tissue, Skin dermis",0.6,UP,0.3900365751958458,0.4660553590292752,0.34359525546335995,1.297053814821043,0.5150919468443278,0.9048003213494764,0.4660553590292752,0.040257199732480556,0.44588258388114327
SERPINA3,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"NP, IAF, OAF, Native_Tissue, Skin dermis",0.8,UP,0.2750957077975833,0.4659088595002313,0.3896293314992402,0.8252830577780692,0.4664704073186903,0.9987961769714678,0.4659088595002313,0.09506560511428108,0.4803797684136067
AGT,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"NP, IAF, OAF, Native_Tissue, Skin dermis",0.5,DOWN,-0.18924588214028773,0.5877549283277896,0.0945860398709308,2.3349680154309556,0.9496421422976391,0.6189225416068088,0.5877549283277896,0.5905820630198442,0.38910503294718407
A2M,Alpha-2-macroglobulin,ECM Regulators,Matrisome-associated,3,ELISA,Blood,9,"NP, IAF, OAF, Lung, Native_Tissue",0.7777777777777778,UP,0.42651578697598913,0.5539078208640513,0.3095212670882152,1.237346148377939,0.5616278171355416,0.986254248746324,0.5539078208640513,0.05221102513125417,0.5734206261720378
TIMP1,Metalloproteinase inhibitor 1,ECM Regulators,Matrisome-associated,4,ELISA,Blood,5,"NP, IAF, OAF, Glomerular, Tubulointerstitial",0.6,UP,0.11001416583704082,0.3008649768849304,0.30312062219233,0.3705892444748734,0.31976594187075374,0.9408912504088289,0.3008649768849304,0.4846193613427522,0.5366678103984643
CST3,Cystatin-C,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"NP, IAF, OAF, Lung, Ovary",0.5,DOWN,0.07375375862535659,0.16724595639307197,-0.010004090928666401,0.3599099077249741,0.20148730867160952,0.8300570268952016,0.16724595639307197,0.33494852080023196,0.3515920413789376
KNG1,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,ECM Regulators,Matrisome-associated,2,ELISA,Blood,9,"NP, OAF, Lung, Ovary, Native_Tissue",0.6666666666666666,UP,0.5416936092644092,0.6455925292324218,0.2024254186299776,2.247276526768217,0.8047445841713374,0.8022328350270318,0.6455925292324218,0.0781343323822642,0.4823587794799702
TGFB1,Transforming growth factor beta-1;Latency-associated peptide,Secreted Factors,Matrisome-associated,2,ELISA,Blood,4,"NP, IAF, OAF, Ovary",0.75,UP,0.0619149628933306,0.08913551450143345,0.0764533903877694,0.1491941740139893,0.08740355146900632,1.0198157054641115,0.08913551450143345,0.2515423704685166,0.39821609012836345
IGF2,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,Secreted Factors,Matrisome-associated,2,ELISA,Blood,2,"NP, IAF",1.0,DOWN,-0.060079336822392554,0.060079336822392554,-0.060079336822392554,0.0885534924471329,0.04026853706162995,1.4919672083056479,0.060079336822392554,,0.3690119005233589
COL1A1,Collagen alpha-1(I) chain,Collagens,Core matrisome,1,"ELISA (CTX-I, PINP)",Blood (turnover markers),10,"NP, IAF, OAF, Lung, Ovary",0.6,UP,-0.04416498870121357,0.26518198693546446,0.12431110083045255,0.6728195819788516,0.34895935992479354,0.7599222642791857,0.26518198693546446,0.6983248269063533,0.26994481534968434
COL2A1,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Collagens,Core matrisome,0,Mass spectrometry,Blood,7,"NP, IAF, OAF, Ovary, Glomerular",0.5714285714285714,UP,0.1061132668067344,0.5511733346233784,0.0614611873352572,1.392619769549817,0.7330243244403757,0.7519168412919576,0.5511733346233784,0.714920457924235,0.22546966868679755
COL3A1,Collagen alpha-1(III) chain,Collagens,Core matrisome,1,"ELISA (CTX-I, PINP)",Blood (turnover markers),10,"NP, IAF, OAF, Lung, Ovary",0.6666666666666666,DOWN,-0.22580445725215284,0.3038993936325184,-0.1825298438396085,0.8746457477320987,0.3389460940757451,0.8966009608731624,0.3038993936325184,0.041461144740236794,0.35477212790418744
FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,ECM Glycoproteins,Core matrisome,4,ELISA or proximity assay,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8333333333333334,UP,0.6072087953084065,0.7530692485474235,0.23581016217987338,2.904223006672848,1.0582485792128884,0.7116184829726364,0.7530692485474235,0.07231639654355275,0.692395414294425
FGB,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,ECM Glycoproteins,Core matrisome,4,ELISA or proximity assay,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.9,UP,0.7383429907808444,0.7448227955496862,0.23434649789060186,2.600559644634628,0.9425435241998805,0.7902264207713503,0.7448227955496862,0.035153983605721424,0.7082080209718808
FGG,Fibrinogen gamma chain,ECM Glycoproteins,Core matrisome,4,ELISA or proximity assay,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8,UP,0.7227086566268052,0.8153690584735589,0.29205409516049746,2.890338500031436,1.0811555223345057,0.7541644487122053,0.8153690584735589,0.06366999980452664,0.6959383587905812
C1QB,Complement C1q subcomponent subunit B,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,7,"NP, OAF, Ovary, Native_Tissue, Skin dermis",0.7142857142857143,UP,0.22100825499274174,0.44928578921363627,0.2382707912090102,0.9339870618643014,0.52025488476709,0.863587834287754,0.44928578921363627,0.3039866662468051,0.2798513446145078
FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,ECM Glycoproteins,Core matrisome,2,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.5,DOWN,0.13647276820788412,0.3777433302476126,0.00024827540242945006,0.9570579964273652,0.4848581042108055,0.7790801617360987,0.3777433302476126,0.35049591199886587,0.3816119083372554
AMBP,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,ECM Regulators,Matrisome-associated,2,ELISA,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8,UP,0.5802685454104057,0.6086785659832511,0.4295775456892038,1.824255517257539,0.6209216166595083,0.9802824537787499,0.6086785659832511,0.016083496936713508,0.5096934352038164
HPX,Hemopexin,ECM-affiliated Proteins,Matrisome-associated,1,Mass spectrometry,Blood,9,"NP, IAF, OAF, Lung, Native_Tissue",0.7777777777777778,UP,0.941379431282924,1.0670101227397082,0.6538258124963177,2.716973940858929,1.0714072530321181,0.9958959300677068,1.0670101227397082,0.029902339299800924,0.4926168400365317
SLPI,Antileukoproteinase,ECM Regulators,Matrisome-associated,2,ELISA,Blood,6,"NP, IAF, OAF, Skin dermis, Glomerular",0.5,DOWN,0.05742998011895963,0.4044259030133484,0.042730329628932806,0.9210372971335428,0.523271474483074,0.772879705343904,0.4044259030133484,0.798796123765331,0.3407842730754692
VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,ECM Glycoproteins,Core matrisome,4,ELISA or proximity assay,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8,UP,1.078054613707371,1.1885305429265454,0.8898093045156904,2.9147790715506203,1.130757458590349,1.0510923752015031,1.1885305429265454,0.01459972080012229,0.7568196093589696
ANXA1,Annexin A1,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8,DOWN,-0.2010311054668275,0.2538726685351642,-0.06875278613242636,0.9349180684330088,0.3285228405245121,0.7727702223986523,0.2538726685351642,0.08497816530968018,0.28958308374930664
HRG,Histidine-rich glycoprotein,ECM Regulators,Matrisome-associated,2,ELISA,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.7,UP,0.5635942842590463,0.6223542884615182,0.2850547255674667,1.992320899433622,0.7812678197248087,0.7965953194907404,0.6223542884615182,0.04846590960113898,0.4885065523091139
SERPINE1,Plasminogen activator inhibitor 1,ECM Regulators,Matrisome-associated,3,ELISA,Blood,4,"NP, IAF, OAF, Native_Tissue",0.5,DOWN,0.08248756907183502,0.29126214793294086,0.06693813917414215,0.6081589288017826,0.42107010931936867,0.691718888343194,0.29126214793294086,0.7213794846219302,0.4115513737277481
SERPINA5,Plasma serine protease inhibitor,ECM Regulators,Matrisome-associated,2,ELISA,Blood,6,"NP, IAF, OAF, Native_Tissue, Glomerular",0.8333333333333334,DOWN,-0.1561965206973348,0.19954890133466038,-0.17436316398906454,0.4025160658734754,0.1783734572617557,1.118714097926748,0.19954890133466038,0.0847849731909114,0.44812050454777463
SERPING1,Plasma protease C1 inhibitor,ECM Regulators,Matrisome-associated,2,ELISA,Blood,9,"NP, IAF, OAF, Lung, Native_Tissue",0.6363636363636364,UP,0.1312701030486123,0.3689692991668984,0.197432878053725,0.9415608132618096,0.4411791936890656,0.8363252493428797,0.3689692991668984,0.3469957600659639,0.40791854614116574
CLEC3B,Tetranectin,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,5,"NP, IAF, OAF, Native_Tissue, Cortex",0.6,UP,0.027271992888374362,0.3325466855200863,0.0016763413513338,0.5607072884817978,0.422984350510916,0.7861914633919873,0.3325466855200863,0.8923375154888133,0.18064825127913162
COL5A2,Collagen alpha-2(V) chain,Collagens,Core matrisome,1,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8333333333333334,DOWN,-0.3188882451115848,0.3319290810702744,-0.26937699295399453,1.0738531244128542,0.34016159590747624,0.9757982237376348,0.3319290810702744,0.0077702254404654475,0.3956790062831613
S100A9,Protein S100-A9,Secreted Factors,Matrisome-associated,2,ELISA,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.6,UP,0.22398606812151564,0.40710704126768976,0.21611259706683966,0.845889555844985,0.44355829890566334,0.9178208192070687,0.40710704126768976,0.14475851693650377,0.42659020449650314
S100A6,Protein S100-A6,Secreted Factors,Matrisome-associated,2,ELISA,Blood,6,"NP, IAF, Lung, Ovary, Native_Tissue",0.6666666666666666,UP,0.03753318869526468,0.14744769744453748,0.06690501689449731,0.2549667693993702,0.18402443932913864,0.8012397591431784,0.14744769744453748,0.6385664022559705,0.35159384772441693
SERPINE2,Glia-derived nexin,ECM Regulators,Matrisome-associated,2,ELISA,Blood,6,"NP, IAF, OAF, Lung, Ovary",0.8333333333333334,UP,0.23012966724943093,0.3798875662849645,0.23879890476124344,0.8487876773978005,0.4128232747969157,0.9202183827252628,0.3798875662849645,0.2303262097711627,0.4606171806322952
CTSD,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,ECM Regulators,Matrisome-associated,2,ELISA,Blood,8,"NP, IAF, OAF, Lung, Ovary",0.75,UP,0.28317707730497677,0.3793490723290717,0.3903407566639469,0.6940507578941132,0.3357717025267903,1.1297827347401455,0.3793490723290717,0.0484964633555224,0.4620527145138086
ANXA2;ANXA2P2,Annexin A2;Putative annexin A2-like protein,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,3,"NP, IAF, OAF",0.6666666666666666,DOWN,-0.25347078178707405,0.3171527265215269,-0.3182372869541592,0.5376979755087422,0.3215403549373753,0.986354346045606,0.3171527265215269,0.30542368535482844,0.2503638737760795
DCN,Decorin,Proteoglycans,Core matrisome,1,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.6,UP,0.018629437468244782,0.2582169207668651,0.07831950751987089,0.5889732486979755,0.31393861221725405,0.8225076837256704,0.2582169207668651,0.8553113634096566,0.2532014017740641
CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,ECM Regulators,Matrisome-associated,2,ELISA,Blood,9,"NP, IAF, OAF, Lung, Ovary",0.5555555555555556,DOWN,0.14350976711182642,0.3145532802101764,-0.0290912286613251,0.7451721665806024,0.4018572411649842,0.7827488172125165,0.3145532802101764,0.3152660626676399,0.38676749687587364
LAMB1,Laminin subunit beta-1,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8,DOWN,-0.3638260314937579,0.44761868548815115,-0.25326638847001326,2.201500554755228,0.6879915970163697,0.6506165008836594,0.44761868548815115,0.12879904424901925,0.3942628983983208
THBS1,Thrombospondin-1,ECM Glycoproteins,Core matrisome,2,Mass spectrometry,Blood,7,"NP, IAF, OAF, Lung, Ovary",0.5714285714285714,DOWN,-0.12095134877683658,0.3129362108550315,-0.0466852714828034,0.6324459538944665,0.3809662767558938,0.8214275907039065,0.3129362108550315,0.4331046844434024,0.3779156774696288
COL1A2,Collagen alpha-2(I) chain,Collagens,Core matrisome,1,"ELISA (CTX-I, PINP)",Blood (turnover markers),10,"NP, IAF, OAF, Lung, Ovary",0.7,DOWN,-0.14823116138223327,0.22507873301003486,-0.08049446187973494,0.6709586875427094,0.27518481502968967,0.8179184341467066,0.22507873301003486,0.1226947893977688,0.3414923310117283
ANXA6,Annexin A6,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.75,DOWN,-0.08879856131628154,0.3273154445561062,-0.11463369354087385,1.0025796647010896,0.4687934222710144,0.6982082704370407,0.3273154445561062,0.525203944635916,0.24657692221982436
SERPINA6,Corticosteroid-binding globulin,ECM Regulators,Matrisome-associated,2,ELISA,Blood,6,"NP, IAF, OAF, Lung, Native_Tissue",0.8333333333333334,UP,0.805316833496875,0.8420350611976183,0.7782757129025198,1.9633177270478752,0.7560848697067174,1.1136779678242215,0.8420350611976183,0.0477281820113675,0.5481991076451727
MMP2,72 kDa type IV collagenase;PEX,ECM Regulators,Matrisome-associated,4,ELISA,Blood,5,"NP, IAF, OAF, Lung, Skin dermis",0.6,UP,0.436261963271017,0.6717281465443553,0.6075158494174555,1.4525351998314768,0.7501062748871885,0.8955106350035256,0.6717281465443553,0.2632970061014283,0.6144295213715105
MMP3,Stromelysin-1,ECM Regulators,Matrisome-associated,4,ELISA,Blood,3,"NP, IAF, OAF",1.0,UP,0.2791378212647263,0.2791378212647263,0.4107152999992891,0.4161010934040325,0.23257870249138393,1.2001865100914269,0.2791378212647263,0.173191959886914,0.6445514772010176
INHBA,Inhibin beta A chain,Secreted Factors,Matrisome-associated,2,ELISA,Blood,3,"NP, IAF, OAF",1.0,UP,0.30496775933932657,0.30496775933932657,0.1376485029455975,0.7355816164982647,0.3759973898377219,0.8110900968513338,0.30496775933932657,0.29524595982484125,0.47622056791841494
SERPINF2,Alpha-2-antiplasmin,ECM Regulators,Matrisome-associated,2,ELISA,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.6,UP,0.521004156470529,0.6283144136521013,0.19715490886017023,1.9497515823107792,0.787460544615956,0.7978995493146006,0.6283144136521013,0.0659428600764335,0.46765287604017186
ANXA5,Annexin A5,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,9,"NP, IAF, OAF, Lung, Ovary",0.6666666666666666,DOWN,0.06104716810429794,0.425226711367379,-0.0549799424304322,1.5315816516672176,0.7072464739628022,0.6012426035647425,0.425226711367379,0.8022121468119245,0.21689612535724773
LGALS1,Galectin-1,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.5,DOWN,-0.05590835253597215,0.43111832275491213,0.01801077215610275,1.169630450387396,0.5822243820451228,0.7404676548250433,0.43111832275491213,0.7682904446307797,0.18783870395015886
SPARC,SPARC,ECM Glycoproteins,Core matrisome,2,Mass spectrometry,Blood,7,"NP, IAF, OAF, Lung, Ovary",0.7142857142857143,DOWN,-0.057609352805623036,0.30103748161326,-0.1299093396576097,0.8101928149707727,0.4293104831334036,0.7012115786599972,0.30103748161326,0.7347103940356645,0.3745417256955655
ANXA4,Annexin A4,ECM-affiliated Proteins,Matrisome-associated,0,Mass spectrometry,Blood,10,"NP, IAF, OAF, Lung, Ovary",0.8,DOWN,-0.1605981245102132,0.34696995379164414,-0.20150167707767125,0.8540034009574082,0.4184913725786039,0.829097029297716,0.34696995379164414,0.2558091815525518,0.2864645749134915
SPP1,Osteopontin,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,3,"NP, IAF, OAF",1.0,DOWN,-0.45150912804633364,0.45150912804633364,-0.3050124798584225,0.8384281360069806,0.33835668881391623,1.3344176219156911,0.45150912804633364,0.14700816225940216,0.43302555298100986
C7,Complement component C7,Secreted Factors,Matrisome-associated,2,ELISA,Blood,6,"NP, IAF, OAF, Native_Tissue, Glomerular",0.8333333333333334,UP,0.8861453129831608,0.9135383547470933,0.7510671406860893,2.2360125532026727,0.7778992069938816,1.1743659673820424,0.9135383547470933,0.038429406437550655,0.5598544792349757
HAPLN1,Hyaluronan and proteoglycan link protein 1,Proteoglycans,Core matrisome,0,Mass spectrometry,Blood,5,"NP, IAF, OAF, Lung, Skin dermis",0.6,DOWN,-0.012340768356902298,0.2904638454722166,-0.1281761240055716,0.6930018937333817,0.416876519054626,0.6967623077714177,0.2904638454722166,0.9503996361498476,0.16852961320584772
LAMC1,Laminin subunit gamma-1,ECM Glycoproteins,Core matrisome,1,Mass spectrometry,Blood,11,"NP, IAF, OAF, Lung, Ovary",0.6923076923076923,DOWN,-0.027675772321803536,0.26463943238571547,-0.1013805746549781,0.5498533403804434,0.3320649213990187,0.7969508831910527,0.26463943238571547,0.7689362675436906,0.2812638265650267
