Protein_ID,Protein_Name,Gene_Symbol
P08651,Nuclear factor 1 C-type OS=Homo sapiens GN=NFIC PE=1 SV=2,NFIC
Q53H12,"Acylglycerol kinase, mitochondrial OS=Homo sapiens GN=AGK PE=1 SV=2",AGK
Q9H9P8,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=L2HGDH PE=1 SV=3",L2HGDH
P00491,Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2,PNP
Q9NVM1,Protein eva-1 homolog B OS=Homo sapiens GN=EVA1B PE=1 SV=1,EVA1B
P42330,Aldo-keto reductase family 1 member C3 OS=Homo sapiens GN=AKR1C3 PE=1 SV=4,AKR1C3
Q8TCS8,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens GN=PNPT1 PE=1 SV=2",PNPT1
A0A087X0Q9,Selenoprotein O OS=Homo sapiens GN=SELO PE=1 SV=1,SELO
Q8N5X7,Eukaryotic translation initiation factor 4E type 3 OS=Homo sapiens GN=EIF4E3 PE=2 SV=4,EIF4E3
Q9Y5K8,V-type proton ATPase subunit D OS=Homo sapiens GN=ATP6V1D PE=1 SV=1,ATP6V1D
C9JB63,"Enoyl-CoA delta isomerase 2, mitochondrial (Fragment) OS=Homo sapiens GN=ECI2 PE=1 SV=1",ECI2
H0YA95,Single-strand selective monofunctional uracil DNA glycosylase (Fragment) OS=Homo sapiens GN=SMUG1 PE=1 SV=1,SMUG1
P38117,Electron transfer flavoprotein subunit beta OS=Homo sapiens GN=ETFB PE=1 SV=3,ETFB
Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens GN=SLC25A11 PE=1 SV=3,SLC25A11
O60494,Cubilin OS=Homo sapiens GN=CUBN PE=1 SV=5,CUBN
Q9UKX3,Myosin-13 OS=Homo sapiens GN=MYH13 PE=2 SV=2,MYH13
Q8N4E7,"Ferritin, mitochondrial OS=Homo sapiens GN=FTMT PE=1 SV=1",FTMT
P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens GN=IDH3A PE=1 SV=1",IDH3A
P06756,Integrin alpha-V OS=Homo sapiens GN=ITGAV PE=1 SV=2,ITGAV
P14384,Carboxypeptidase M OS=Homo sapiens GN=CPM PE=1 SV=2,CPM
C9JZR2,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=2,CTNND1
P14920,D-amino-acid oxidase OS=Homo sapiens GN=DAO PE=1 SV=3,DAO
A0A087WUT0,Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=1,MYEF2
Q5RI15,Cytochrome c oxidase protein 20 homolog OS=Homo sapiens GN=COX20 PE=1 SV=2,COX20
P55084,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3",HADHB
Q5T2N8,ATPase family AAA domain-containing protein 3C OS=Homo sapiens GN=ATAD3C PE=2 SV=2,ATAD3C
B0YIW2,Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1,APOC3
Q93034,Cullin-5 OS=Homo sapiens GN=CUL5 PE=1 SV=4,CUL5
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1",ACADM
A0A0D9SFH4,"Spectrin alpha chain, non-erythrocytic 1 (Fragment) OS=Homo sapiens GN=SPTAN1 PE=1 SV=1",SPTAN1
P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1,HNRNPK
P24468,COUP transcription factor 2 OS=Homo sapiens GN=NR2F2 PE=1 SV=1,NR2F2
H7BZL2,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (Fragment) OS=Homo sapiens GN=HIBADH PE=1 SV=1",HIBADH
P11182,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DBT PE=1 SV=3",DBT
P48735,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens GN=IDH2 PE=1 SV=2",IDH2
Q6P1J9,Parafibromin OS=Homo sapiens GN=CDC73 PE=1 SV=1,CDC73
P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADS PE=1 SV=1",ACADS
P05388,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,RPLP0
Q7Z2Z2,Elongation factor Tu GTP-binding domain-containing protein 1 OS=Homo sapiens GN=EFTUD1 PE=1 SV=2,EFTUD1
Q86UL8,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Homo sapiens GN=MAGI2 PE=1 SV=3",MAGI2
Q96NB2,Sideroflexin-2 OS=Homo sapiens GN=SFXN2 PE=1 SV=2,SFXN2
P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1,NUP107
E7ERC7,Sorting nexin-19 OS=Homo sapiens GN=SNX19 PE=4 SV=1,SNX19
P46439,Glutathione S-transferase Mu 5 OS=Homo sapiens GN=GSTM5 PE=1 SV=3,GSTM5
Q96CU9,FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens GN=FOXRED1 PE=1 SV=2,FOXRED1
A0A0C3SFZ7,MDS1 and EVI1 complex locus protein EVI1 OS=Homo sapiens GN=MECOM PE=1 SV=1,MECOM
P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,DDX5
Q92621,Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3,NUP205
A3KMH1,von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,VWA8
Q6VUC0,Transcription factor AP-2-epsilon OS=Homo sapiens GN=TFAP2E PE=2 SV=1,TFAP2E
Q8NI36,WD repeat-containing protein 36 OS=Homo sapiens GN=WDR36 PE=1 SV=1,WDR36
Q9UBS3,DnaJ homolog subfamily B member 9 OS=Homo sapiens GN=DNAJB9 PE=1 SV=1,DNAJB9
Q9HCE1,Putative helicase MOV-10 OS=Homo sapiens GN=MOV10 PE=1 SV=2,MOV10
E9PNW4,CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1,CD59
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1,AHSA1
P58512,Uncharacterized protein encoded by LINC01547 OS=Homo sapiens GN=LINC01547 PE=2 SV=1,LINC01547
C9J1K5,"Sterol 26-hydroxylase, mitochondrial (Fragment) OS=Homo sapiens GN=CYP27A1 PE=1 SV=1",CYP27A1
A0A0G2JNQ3,Heterogeneous nuclear ribonucleoprotein C-like 2 OS=Homo sapiens GN=HNRNPCL2 PE=4 SV=1,HNRNPCL2
H0Y4R4,Torsin-1A-interacting protein 1 (Fragment) OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=1,TOR1AIP1
Q15067,Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens GN=ACOX1 PE=1 SV=3,ACOX1
Q13642,Four and a half LIM domains protein 1 OS=Homo sapiens GN=FHL1 PE=1 SV=4,FHL1
A0A0C4DFU1,Superoxide dismutase OS=Homo sapiens GN=SOD2 PE=1 SV=1,SOD2
Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACAD8 PE=1 SV=1",ACAD8
P40121,Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2,CAPG
I3L0T4,Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens GN=ACOX1 PE=1 SV=1,ACOX1
A0A0C4DGR6,"Sideroflexin 2, isoform CRA_b OS=Homo sapiens GN=SFXN2 PE=1 SV=1",SFXN2
Q5SRE5,Nucleoporin NUP188 homolog OS=Homo sapiens GN=NUP188 PE=1 SV=1,NUP188
P83111,"Serine beta-lactamase-like protein LACTB, mitochondrial OS=Homo sapiens GN=LACTB PE=1 SV=2",LACTB
A0A0B4J1R2,"Acyl-CoA synthetase short-chain family member 3, mitochondrial OS=Homo sapiens GN=ACSS3 PE=1 SV=1",ACSS3
Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens GN=PRKAA1 PE=1 SV=4,PRKAA1
Q9Y399,"28S ribosomal protein S2, mitochondrial OS=Homo sapiens GN=MRPS2 PE=1 SV=1",MRPS2
P51151,Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1,RAB9A
Q9NYQ3,Hydroxyacid oxidase 2 OS=Homo sapiens GN=HAO2 PE=1 SV=1,HAO2
P46459,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3,NSF
Q16654,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial OS=Homo sapiens GN=PDK4 PE=1 SV=1",PDK4
Q96S97,Myeloid-associated differentiation marker OS=Homo sapiens GN=MYADM PE=1 SV=2,MYADM
Q9HAU5,Regulator of nonsense transcripts 2 OS=Homo sapiens GN=UPF2 PE=1 SV=1,UPF2
Q9BXX2,Ankyrin repeat domain-containing protein 30B OS=Homo sapiens GN=ANKRD30B PE=2 SV=3,ANKRD30B
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3",PDHB
O94826,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens GN=TOMM70A PE=1 SV=1,TOMM70A
Q8TBF8,Protein FAM81A OS=Homo sapiens GN=FAM81A PE=2 SV=3,FAM81A
