Gene,Baseline_Score,Knockout_Score,Delta_Score,Percent_Change,Embedding_Shift
COL22A1,0.99529004,0.99528974,2.9802322e-07,2.9943323e-05,0.00015807105
VWA2,1.0013307,1.0013305,2.3841858e-07,2.3810151e-05,0.00070233335
MMP2,1.0009215,1.0009212,2.3841858e-07,2.3819885e-05,0.00042054418
MMP12,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.0007004847
A2ML1,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.00070068374
SERPINB4,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.0007006301
SERPINA12,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.0007006422
COL17A1,1.0013413,1.0013411,2.3841858e-07,2.3809898e-05,0.0007025123
SERPINB7,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.000700634
HMCN2,1.0013307,1.0013305,2.3841858e-07,2.3810151e-05,0.0007021348
TGM5,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.00070060627
S100A3,1.0013384,1.0013381,2.3841858e-07,2.380997e-05,0.00070214365
TCHH,1.0012143,1.001214,2.3841858e-07,2.381292e-05,0.0006991432
S100A2,1.0013384,1.0013381,2.3841858e-07,2.380997e-05,0.00070214365
CCL28,1.0013384,1.0013381,2.3841858e-07,2.380997e-05,0.0007020938
COCH,1.0013307,1.0013305,2.3841858e-07,2.3810151e-05,0.0007021518
CTSV,1.001275,1.0012747,2.3841858e-07,2.3811477e-05,0.000700603
SERPINB5,1.0008836,1.0008835,1.1920929e-07,1.1910393e-05,0.0006916409
Serpina3m,1.9997975,1.9997973,1.1920929e-07,5.9610657e-06,0.0003333156
FGB,1.999693,1.9996929,1.1920929e-07,5.9613767e-06,0.00010439713
MFAP2,0.050370924,0.05037088,4.4703484e-08,8.874683e-05,2.9485123e-05
Kera,0.16212463,0.16212463,0.0,0.0,0.0
Kng1,1.5400232,1.5400232,0.0,0.0,0.0
Lamb2,1.9960737,1.9960737,0.0,0.0,0.00011358165
LGALS1,0.9992563,0.9992563,0.0,0.0,0.0
Lama1,1.9867793,1.9867793,0.0,0.0,0.0
Lama2,0.9992203,0.9992203,0.0,0.0,0.0
Lama3,0.9511418,0.9511418,0.0,0.0,0.0
Lama4,1.020957,1.020957,0.0,0.0,0.0
Lama5,1.013107,1.013107,0.0,0.0,0.0
