Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Cluster,Stage_Name
CILP,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,ECM Glycoproteins,Core matrisome,4,4,1.0,UP,4,0,0.6316081753940073,0.6316081753940073,0.3943531452521659,0.5996168464446839,1,0.25,2.1067059044088237,0.125760262370478,0.6085970003594228,4,PHASE 1: Early Dramatic Changes (20-40 years)
CRLF1,Cytokine receptor-like factor 1,Secreted Factors,Matrisome-associated,4,4,1.0,UP,4,0,0.7718434987925169,0.7718434987925169,0.8063678779220593,0.3671626853745111,3,0.75,4.2043678703636544,0.0245643653785987,0.6428597120976496,5,PHASE 1: Early Dramatic Changes (20-40 years)
CLEC3A,C-type lectin domain family 3 member A,ECM-affiliated Proteins,Matrisome-associated,3,3,1.0,DOWN,0,3,-0.7942434790763403,0.7942434790763403,-0.616580148458698,0.5832583656671869,2,0.6666666666666666,-2.35859464744559,0.1423557963674697,0.6038943651047283,5,PHASE 1: Early Dramatic Changes (20-40 years)
FCN3,Ficolin-3,ECM-affiliated Proteins,Matrisome-associated,3,3,1.0,UP,3,0,0.6303325475721668,0.6303325475721668,0.509413598922137,0.2669253078971057,2,0.6666666666666666,4.090162924829045,0.0548988413630663,0.6049946629551917,4,PHASE 1: Early Dramatic Changes (20-40 years)
ECM2,Extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,1.0,DOWN,0,4,-0.2609506916035267,0.2609506916035267,-0.2939785554466939,0.1125347560801969,0,0.0,-4.637690624531366,0.018891305743394,0.5929050433057915,6,PHASE 2: Consistent Shifters (40-60 years)
SEMA3D,Semaphorin-3D,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0835970652270851,0.0870891047358389,0.0964075413372262,0.0831731170591635,0,0.0,1.7408793785372303,0.2238312483977076,0.4168838372646306,0,CLUSTER 0: Gradual/Variable Changes
WISP3,WNT1-inducible-signaling pathway protein 3,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0520660137721802,0.2097221313076636,-0.0520660137721802,0.2965918824250889,0,0.0,,,0.2062663307778252,0,CLUSTER 0: Gradual/Variable Changes
MATN4,Matrilin-4,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.1963702327045801,0.2493218393782297,-0.2115012100548212,0.2703782269165927,0,0.0,-1.452559512235851,0.2422850508730151,0.4720634090573375,6,PHASE 2: Consistent Shifters (40-60 years)
EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,0.0309692496856101,0.0754697675276287,-0.0250680383237995,0.1214550273928739,0,0.0,0.5099706508719988,0.6452219573895821,0.3740908205689641,6,PHASE 2: Consistent Shifters (40-60 years)
F13A1,Coagulation factor XIII A chain,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,UP,6,3,0.1821656208894746,0.5573696737586272,0.1161552003303691,0.7199339026972349,4,0.4444444444444444,0.7590931064934872,0.4695699150894675,0.5206465137697339,3,PHASE 2: Consistent Shifters (40-60 years)
F2,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,ECM Regulators,Matrisome-associated,13,14,0.7857142857142857,UP,11,3,0.4784004036981658,0.6507019888596577,0.1703197957011595,0.8856013941787313,6,0.4285714285714285,2.0212371119772867,0.0643425128351988,0.717327746739094,3,PHASE 2: Consistent Shifters (40-60 years)
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",ECM Regulators,Matrisome-associated,10,10,0.5,DOWN,5,5,0.6738969372783365,0.8255683529628411,0.0332770370259839,1.1974618475256902,3,0.3,1.7796385199366078,0.1088383142014347,0.5872597606912913,3,PHASE 2: Consistent Shifters (40-60 years)
F12,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,ECM Regulators,Matrisome-associated,6,7,0.8571428571428571,UP,6,1,0.3451057774047291,0.3476995055795531,0.1170466823190659,0.4462094762148081,2,0.2857142857142857,2.046267754710283,0.0866888071583911,0.5804573992103107,6,PHASE 2: Consistent Shifters (40-60 years)
SERPINC1,Antithrombin-III,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.569456682828884,0.9267061881979056,0.0867234678760499,1.28569884352524,5,0.5,1.4006236029627557,0.1948479719672186,0.640171612661641,3,PHASE 2: Consistent Shifters (40-60 years)
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,8,10,0.6,UP,6,4,0.3900365751958458,0.4660553590292752,0.3435952554633599,0.5150919468443278,5,0.5,2.3945316092529967,0.0402571997324805,0.5597305665446668,3,PHASE 2: Consistent Shifters (40-60 years)
SERPINA3,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,ECM Regulators,Matrisome-associated,8,10,0.8,UP,8,2,0.2750957077975833,0.4659088595002313,0.3896293314992402,0.4664704073186903,5,0.5,1.8649178973151337,0.095065605114281,0.6087542355154022,3,PHASE 2: Consistent Shifters (40-60 years)
AGT,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.1892458821402877,0.5877549283277896,0.0945860398709308,0.9496421422976392,3,0.375,-0.5636525196712946,0.5905820630198442,0.4318355508170454,3,PHASE 2: Consistent Shifters (40-60 years)
A2M,Alpha-2-macroglobulin,ECM Regulators,Matrisome-associated,9,9,0.7777777777777778,UP,7,2,0.4265157869759891,0.5539078208640513,0.3095212670882152,0.5616278171355416,4,0.4444444444444444,2.278283450157465,0.0522110251312541,0.6371054398052524,3,PHASE 2: Consistent Shifters (40-60 years)
TIMP1,Metalloproteinase inhibitor 1,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.1100141658370408,0.3008649768849304,0.30312062219233,0.3197659418707537,0,0.0,0.7693100517846545,0.4846193613427522,0.4013979195375897,6,PHASE 2: Consistent Shifters (40-60 years)
CST3,Cystatin-C,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,0.0737537586253565,0.1672459563930719,-0.0100040909286664,0.2014873086716095,0,0.0,1.0353363337039576,0.3349485208002319,0.440911362067496,3,PHASE 2: Consistent Shifters (40-60 years)
KNG1,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,UP,6,3,0.5416936092644092,0.6455925292324218,0.2024254186299776,0.8047445841713374,4,0.4444444444444444,2.0193746683820284,0.0781343323822642,0.6077559158585539,3,PHASE 2: Consistent Shifters (40-60 years)
TGFB1,Transforming growth factor beta-1;Latency-associated peptide,Secreted Factors,Matrisome-associated,4,4,0.75,UP,3,1,0.0619149628933306,0.0891355145014334,0.0764533903877694,0.0874035514690063,0,0.0,1.4167608032560537,0.2515423704685166,0.4541933126505576,6,PHASE 2: Consistent Shifters (40-60 years)
IGF2,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,Secreted Factors,Matrisome-associated,2,2,1.0,DOWN,0,2,-0.0600793368223925,0.0600793368223925,-0.0600793368223925,0.0402685370616299,0,0.0,,,0.341302051329298,2,PHASE 2: Consistent Shifters (40-60 years)
COL1A1,Collagen alpha-1(I) chain,Collagens,Core matrisome,10,10,0.6,UP,6,4,-0.0441649887012135,0.2651819869354644,0.1243111008304525,0.3489593599247935,2,0.2,-0.4002241325796104,0.6983248269063533,0.4433238215475699,3,PHASE 2: Consistent Shifters (40-60 years)
COL2A1,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Collagens,Core matrisome,7,7,0.5714285714285714,UP,4,3,0.1061132668067344,0.5511733346233784,0.0614611873352572,0.7330243244403757,2,0.2857142857142857,0.3830013621848104,0.714920457924235,0.4070912250707681,3,PHASE 2: Consistent Shifters (40-60 years)
COL3A1,Collagen alpha-1(III) chain,Collagens,Core matrisome,10,12,0.6666666666666666,DOWN,4,8,-0.2258044572521528,0.3038993936325184,-0.1825298438396085,0.3389460940757451,2,0.1666666666666666,-2.307769874750893,0.0414611447402367,0.5985682986504987,3,PHASE 2: Consistent Shifters (40-60 years)
FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,ECM Glycoproteins,Core matrisome,10,12,0.8333333333333334,UP,10,2,0.6072087953084065,0.7530692485474235,0.2358101621798733,1.0582485792128884,4,0.3333333333333333,1.9876548949569175,0.0723163965435527,0.687314233781326,3,PHASE 2: Consistent Shifters (40-60 years)
FGB,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,ECM Glycoproteins,Core matrisome,10,10,0.9,UP,9,1,0.7383429907808444,0.7448227955496862,0.2343464978906018,0.9425435241998804,4,0.4,2.4771753084508306,0.0351539836057214,0.7139220710691185,3,PHASE 2: Consistent Shifters (40-60 years)
FGG,Fibrinogen gamma chain,ECM Glycoproteins,Core matrisome,10,10,0.8,UP,8,2,0.7227086566268052,0.8153690584735589,0.2920540951604974,1.0811555223345055,4,0.4,2.1138544755581887,0.0636699998045266,0.6852734941217447,3,PHASE 2: Consistent Shifters (40-60 years)
C1QB,Complement C1q subcomponent subunit B,ECM-affiliated Proteins,Matrisome-associated,7,7,0.7142857142857143,UP,5,2,0.2210082549927417,0.4492857892136362,0.2382707912090102,0.52025488476709,3,0.4285714285714285,1.123935396906306,0.3039866662468051,0.5219463717224228,3,PHASE 2: Consistent Shifters (40-60 years)
FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,ECM Glycoproteins,Core matrisome,10,12,0.5,DOWN,6,6,0.1364727682078841,0.3777433302476126,0.0002482754024294,0.4848581042108055,4,0.3333333333333333,0.975038949881527,0.3504959119988658,0.4941457388602822,3,PHASE 2: Consistent Shifters (40-60 years)
AMBP,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,ECM Regulators,Matrisome-associated,10,10,0.8,UP,8,2,0.5802685454104057,0.6086785659832511,0.4295775456892038,0.6209216166595083,5,0.5,2.955236552918982,0.0160834969367135,0.6741217454462766,3,PHASE 2: Consistent Shifters (40-60 years)
HPX,Hemopexin,ECM-affiliated Proteins,Matrisome-associated,9,9,0.7777777777777778,UP,7,2,0.941379431282924,1.0670101227397082,0.6538258124963177,1.071407253032118,5,0.5555555555555556,2.6359148548382203,0.0299023392998009,0.6928774071591087,3,PHASE 2: Consistent Shifters (40-60 years)
SLPI,Antileukoproteinase,ECM Regulators,Matrisome-associated,6,6,0.5,DOWN,3,3,0.0574299801189596,0.4044259030133484,0.0427303296289328,0.523271474483074,1,0.1666666666666666,0.2688358798243335,0.798796123765331,0.3365657184894451,3,PHASE 2: Consistent Shifters (40-60 years)
VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,ECM Glycoproteins,Core matrisome,10,10,0.8,UP,8,2,1.078054613707371,1.1885305429265454,0.8898093045156904,1.130757458590349,6,0.6,3.0148888211785154,0.0145997208001222,0.7324036983679243,3,PHASE 2: Consistent Shifters (40-60 years)
ANXA1,Annexin A1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.8,DOWN,2,8,-0.2010311054668275,0.2538726685351642,-0.0687527861324263,0.3285228405245121,1,0.1,-1.9350745074580875,0.0849781653096801,0.6248622220268746,3,PHASE 2: Consistent Shifters (40-60 years)
HRG,Histidine-rich glycoprotein,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.5635942842590463,0.6223542884615182,0.2850547255674667,0.7812678197248087,4,0.4,2.2812172337249734,0.0484659096011389,0.6390128351612182,3,PHASE 2: Consistent Shifters (40-60 years)
SERPINE1,Plasminogen activator inhibitor 1,ECM Regulators,Matrisome-associated,4,4,0.5,DOWN,2,2,0.082487569071835,0.2912621479329408,0.0669381391741421,0.4210701093193686,1,0.25,0.3917996896296942,0.7213794846219302,0.3054385531630257,0,CLUSTER 0: Gradual/Variable Changes
SERPINA5,Plasma serine protease inhibitor,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,DOWN,1,5,-0.1561965206973348,0.1995489013346603,-0.1743631639890645,0.1783734572617557,0,0.0,-2.1449479153453286,0.0847849731909114,0.5588802484364602,6,PHASE 2: Consistent Shifters (40-60 years)
SERPING1,Plasma protease C1 inhibitor,ECM Regulators,Matrisome-associated,9,11,0.6363636363636364,UP,7,4,0.1312701030486123,0.3689692991668984,0.197432878053725,0.4411791936890656,2,0.1818181818181818,0.9868409123354496,0.3469957600659639,0.5172303982243527,3,PHASE 2: Consistent Shifters (40-60 years)
CLEC3B,Tetranectin,ECM-affiliated Proteins,Matrisome-associated,5,5,0.6,UP,3,2,0.0272719928883743,0.3325466855200863,0.0016763413513338,0.422984350510916,1,0.2,0.1441708893169137,0.8923375154888133,0.3230224595718931,6,PHASE 2: Consistent Shifters (40-60 years)
COL5A2,Collagen alpha-2(V) chain,Collagens,Core matrisome,10,12,0.8333333333333334,DOWN,2,10,-0.3188882451115848,0.3319290810702744,-0.2693769929539945,0.3401615959074762,3,0.25,-3.247460319535755,0.0077702254404654,0.6581094512542285,3,PHASE 2: Consistent Shifters (40-60 years)
S100A9,Protein S100-A9,Secreted Factors,Matrisome-associated,10,10,0.6,UP,6,4,0.2239860681215156,0.4071070412676897,0.2161125970668396,0.4435582989056633,4,0.4,1.596872702319262,0.1447585169365037,0.5682295889747624,3,PHASE 2: Consistent Shifters (40-60 years)
S100A6,Protein S100-A6,Secreted Factors,Matrisome-associated,6,6,0.6666666666666666,UP,4,2,0.0375331886952646,0.1474476974445374,0.0669050168944973,0.1840244393291386,0,0.0,0.499592125144646,0.6385664022559705,0.3929138422344361,6,PHASE 2: Consistent Shifters (40-60 years)
SERPINE2,Glia-derived nexin,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,UP,5,1,0.2301296672494309,0.3798875662849645,0.2387989047612434,0.4128232747969157,1,0.1666666666666666,1.3654759647815249,0.2303262097711627,0.5478058676154404,6,PHASE 2: Consistent Shifters (40-60 years)
CTSD,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,ECM Regulators,Matrisome-associated,8,8,0.75,UP,6,2,0.2831770773049767,0.3793490723290717,0.3903407566639469,0.3357717025267903,2,0.25,2.385387811207348,0.0484964633555224,0.594412085150038,3,PHASE 2: Consistent Shifters (40-60 years)
ANXA2;ANXA2P2,Annexin A2;Putative annexin A2-like protein,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.253470781787074,0.3171527265215269,-0.3182372869541592,0.3215403549373753,1,0.3333333333333333,-1.365378452651527,0.3054236853548284,0.4235717120517752,1,PHASE 1: Early Dramatic Changes (20-40 years)
DCN,Decorin,Proteoglycans,Core matrisome,10,10,0.6,UP,6,4,0.0186294374682447,0.2582169207668651,0.0783195075198708,0.313938612217254,1,0.1,0.1876527818966273,0.8553113634096566,0.4112300076300492,3,PHASE 2: Consistent Shifters (40-60 years)
CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,ECM Regulators,Matrisome-associated,9,9,0.5555555555555556,DOWN,4,5,0.1435097671118264,0.3145532802101764,-0.0290912286613251,0.4018572411649842,2,0.2222222222222222,1.071348870278845,0.3152660626676399,0.4938923115659209,3,PHASE 2: Consistent Shifters (40-60 years)
LAMB1,Laminin subunit beta-1,ECM Glycoproteins,Core matrisome,10,10,0.8,DOWN,2,8,-0.3638260314937579,0.4476186854881511,-0.2532663884700132,0.6879915970163697,1,0.1,-1.6722863136263757,0.1287990442490192,0.6354726479343055,3,PHASE 2: Consistent Shifters (40-60 years)
THBS1,Thrombospondin-1,ECM Glycoproteins,Core matrisome,7,7,0.5714285714285714,DOWN,3,4,-0.1209513487768365,0.3129362108550315,-0.0466852714828034,0.3809662767558938,1,0.1428571428571428,-0.8399882328860101,0.4331046844434024,0.4396306673900999,3,PHASE 2: Consistent Shifters (40-60 years)
COL1A2,Collagen alpha-2(I) chain,Collagens,Core matrisome,10,10,0.7,DOWN,3,7,-0.1482311613822332,0.2250787330100348,-0.0804944618797349,0.2751848150296896,1,0.1,-1.7033937360579905,0.1226947893977688,0.5844395036567439,3,PHASE 2: Consistent Shifters (40-60 years)
ANXA6,Annexin A6,ECM-affiliated Proteins,Matrisome-associated,10,12,0.75,DOWN,3,9,-0.0887985613162815,0.3273154445561062,-0.1146336935408738,0.4687934222710144,2,0.1666666666666666,-0.6561679943960665,0.525203944635916,0.5291613437637215,3,PHASE 2: Consistent Shifters (40-60 years)
SERPINA6,Corticosteroid-binding globulin,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,UP,5,1,0.805316833496875,0.8420350611976183,0.7782757129025198,0.7560848697067174,4,0.6666666666666666,2.6089866394316212,0.0477281820113675,0.6305402226586648,5,PHASE 1: Early Dramatic Changes (20-40 years)
MMP2,72 kDa type IV collagenase;PEX,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.436261963271017,0.6717281465443553,0.6075158494174555,0.7501062748871885,3,0.6,1.3004975941818666,0.2632970061014283,0.4827487075517969,1,PHASE 1: Early Dramatic Changes (20-40 years)
MMP3,Stromelysin-1,ECM Regulators,Matrisome-associated,3,3,1.0,UP,3,0,0.2791378212647263,0.2791378212647263,0.4107152999992891,0.2325787024913839,0,0.0,2.0787840140371285,0.173191959886914,0.546216566619678,2,PHASE 2: Consistent Shifters (40-60 years)
INHBA,Inhibin beta A chain,Secreted Factors,Matrisome-associated,3,3,1.0,UP,3,0,0.3049677593393265,0.3049677593393265,0.1376485029455975,0.3759973898377219,1,0.3333333333333333,1.4048492572624718,0.2952459598248412,0.5243887604395526,4,PHASE 1: Early Dramatic Changes (20-40 years)
SERPINF2,Alpha-2-antiplasmin,ECM Regulators,Matrisome-associated,10,10,0.6,UP,6,4,0.521004156470529,0.6283144136521013,0.1971549088601702,0.787460544615956,4,0.4,2.09224426052373,0.0659428600764335,0.6061134575852175,3,PHASE 2: Consistent Shifters (40-60 years)
ANXA5,Annexin A5,ECM-affiliated Proteins,Matrisome-associated,9,9,0.6666666666666666,DOWN,3,6,0.0610471681042979,0.425226711367379,-0.0549799424304322,0.7072464739628022,2,0.2222222222222222,0.2589500422486747,0.8022121468119245,0.4409037711861177,3,PHASE 2: Consistent Shifters (40-60 years)
LGALS1,Galectin-1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.5,DOWN,5,5,-0.0559083525359721,0.4311183227549121,0.0180107721561027,0.5822243820451228,4,0.4,-0.3036591041074279,0.7682904446307797,0.4159243315846294,3,PHASE 2: Consistent Shifters (40-60 years)
SPARC,SPARC,ECM Glycoproteins,Core matrisome,7,7,0.7142857142857143,DOWN,2,5,-0.057609352805623,0.30103748161326,-0.1299093396576097,0.4293104831334036,2,0.2857142857142857,-0.3550344720273155,0.7347103940356645,0.4209767954046132,3,PHASE 2: Consistent Shifters (40-60 years)
ANXA4,Annexin A4,ECM-affiliated Proteins,Matrisome-associated,10,10,0.8,DOWN,2,8,-0.1605981245102132,0.3469699537916441,-0.2015016770776712,0.4184913725786039,2,0.2,-1.2135396203614643,0.2558091815525518,0.6000057473039482,3,PHASE 2: Consistent Shifters (40-60 years)
SPP1,Osteopontin,ECM Glycoproteins,Core matrisome,3,3,1.0,DOWN,0,3,-0.4515091280463336,0.4515091280463336,-0.3050124798584225,0.3383566888139162,1,0.3333333333333333,-2.311279119673214,0.1470081622594021,0.5686904568233411,4,PHASE 1: Early Dramatic Changes (20-40 years)
C7,Complement component C7,Secreted Factors,Matrisome-associated,6,6,0.8333333333333334,UP,5,1,0.8861453129831608,0.9135383547470932,0.7510671406860893,0.7778992069938816,5,0.8333333333333334,2.7903407475574324,0.0384294064375506,0.6395503071283757,5,PHASE 1: Early Dramatic Changes (20-40 years)
HAPLN1,Hyaluronan and proteoglycan link protein 1,Proteoglycans,Core matrisome,5,5,0.6,DOWN,2,3,-0.0123407683569022,0.2904638454722166,-0.1281761240055716,0.416876519054626,1,0.2,-0.0661941742441866,0.9503996361498476,0.3072017514348992,6,PHASE 2: Consistent Shifters (40-60 years)
LAMC1,Laminin subunit gamma-1,ECM Glycoproteins,Core matrisome,11,13,0.6923076923076923,DOWN,4,9,-0.0276757723218035,0.2646394323857154,-0.1013805746549781,0.3320649213990187,2,0.1538461538461538,-0.3005027323389678,0.7689362675436906,0.4744866444809646,3,PHASE 2: Consistent Shifters (40-60 years)
COL11A1,Collagen alpha-1(XI) chain,Collagens,Core matrisome,6,6,1.0,DOWN,0,6,-0.3848630089900379,0.3848630089900379,-0.3935559913695547,0.1623558898940146,1,0.1666666666666666,-5.8064908733103024,0.0021367796762476,0.6439412979049308,6,PHASE 2: Consistent Shifters (40-60 years)
COL6A1,Collagen alpha-1(VI) chain,Collagens,Core matrisome,10,10,0.8,DOWN,2,8,-0.1882185947915142,0.2067208018697774,-0.2165626701448132,0.1762720747899682,0,0.0,-3.3765952902448233,0.0081709983212934,0.6355084687580133,3,PHASE 2: Consistent Shifters (40-60 years)
COL6A2,Collagen alpha-2(VI) chain,Collagens,Core matrisome,10,10,0.7,DOWN,3,7,-0.1168920337988713,0.2468509982705623,-0.1714726685805418,0.2864051697139843,1,0.1,-1.290636853737523,0.2289975037458253,0.5653561873131853,3,PHASE 2: Consistent Shifters (40-60 years)
COL6A3,Collagen alpha-3(VI) chain,Collagens,Core matrisome,10,10,1.0,DOWN,0,10,-0.2369376130297511,0.2369376130297511,-0.1386287803371073,0.2935659573892598,1,0.1,-2.5522799959536937,0.0310782725350285,0.6939486950312634,3,PHASE 2: Consistent Shifters (40-60 years)
BMP1,Bone morphogenetic protein 1,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.2418152052104722,0.2434033965262603,-0.2418152052104722,0.3442243844951136,0,0.0,,,0.2096344572996848,0,CLUSTER 0: Gradual/Variable Changes
VCAN,Versican core protein,Proteoglycans,Core matrisome,10,12,0.75,DOWN,3,9,-0.1628016036964313,0.2417885390396027,-0.1782966961976562,0.2585222728781935,1,0.0833333333333333,-2.1814805046896004,0.0517314282110785,0.6153031564970387,3,PHASE 2: Consistent Shifters (40-60 years)
P4HA1,Prolyl 4-hydroxylase subunit alpha-1,ECM Regulators,Matrisome-associated,6,6,0.8333333333333334,DOWN,1,5,-0.2589751682382858,0.2820061786622898,-0.2512967835536085,0.2505120774365144,2,0.3333333333333333,-2.532241258491778,0.0523866529695873,0.5736056402134879,6,PHASE 2: Consistent Shifters (40-60 years)
