Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence,Abundance_Young,Abundance_Old,N_Profiles_Young,N_Profiles_Old
A0A0C4DH34,,IGHV4-28,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV4-28,,,Level 4: Unmatched,0,,25.6874,0.0,1.0
A0A0C4DH38,,IGHV5-51,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-51,,,Level 4: Unmatched,0,,27.753500000000003,0.0,3.0
A0A0C4DH38,,IGHV5-51,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-51,,,Level 4: Unmatched,0,26.1437,28.37275,1.0,2.0
A0A0C4DH38,,IGHV5-51,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-51,,,Level 4: Unmatched,0,,27.740899999999996,0.0,9.0
A0A0C4DH38,,IGHV5-51,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-51,,,Level 4: Unmatched,0,28.3971,25.875642857142857,1.0,7.0
A0A0C4DH43,Immunoglobulin heavy variable 2-70D,IGHV2-70D,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV2-70D,,,Level 4: Unmatched,0,,23.1187,0.0,1.0
A0A0C4DH67;A0A0C4DH69,,IGKV1-8;IGKV1-9,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-8;IGKV1-9,,,Level 4: Unmatched,0,,24.41725,0.0,2.0
A0A0C4DH67;A0A0C4DH69,,IGKV1-8;IGKV1-9,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-8;IGKV1-9,,,Level 4: Unmatched,0,,24.6601,0.0,1.0
A0A0C4DH67;A0A0C4DH69,,IGKV1-8;IGKV1-9,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-8;IGKV1-9,,,Level 4: Unmatched,0,,24.151,0.0,1.0
A0A0C4DH68,,IGKV2-24,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-24,,,Level 4: Unmatched,0,,27.8994,0.0,3.0
A0A0C4DH68,,IGKV2-24,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-24,,,Level 4: Unmatched,0,,27.2165,0.0,2.0
A0A0C4DH68,,IGKV2-24,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-24,,,Level 4: Unmatched,0,,27.474259999999997,0.0,5.0
A0A0C4DH68,,IGKV2-24,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV2-24,,,Level 4: Unmatched,0,25.2368,26.133233333333333,1.0,3.0
A0A0C4DH72;P01599,Ig kappa chain V-I region Gal,IGKV1-6,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-6,,,Level 4: Unmatched,0,,24.9792,0.0,1.0
A0A0C4DH72;P01599,Ig kappa chain V-I region Gal,IGKV1-6,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-6,,,Level 4: Unmatched,0,,24.02865,0.0,2.0
A0A0C4DH72;P01599,Ig kappa chain V-I region Gal,IGKV1-6,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-6,,,Level 4: Unmatched,0,26.4701,23.0698,1.0,2.0
A0A0C4DH73;P01611;P01601,Ig kappa chain V-I region Wes;Ig kappa chain V-I region HK101,IGKV1-12,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGKV1-12,,,Level 4: Unmatched,0,,25.5467,0.0,1.0
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-64D,,,Level 4: Unmatched,0,,26.342166666666667,0.0,3.0
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-64D,,,Level 4: Unmatched,0,,27.029600000000002,0.0,2.0
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-64D,,,Level 4: Unmatched,0,,25.8676,0.0,4.0
A0A0J9YX35,Immunoglobulin heavy variable 3-64D,IGHV3-64D,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV3-64D,,,Level 4: Unmatched,0,24.3112,,1.0,0.0
A0A0J9YXX1,Immunoglobulin heavy variable 5-10-1,IGHV5-10-1,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-10-1,,,Level 4: Unmatched,0,,26.1837,0.0,1.0
A0A0J9YXX1,Immunoglobulin heavy variable 5-10-1,IGHV5-10-1,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,IGHV5-10-1,,,Level 4: Unmatched,0,,25.33615,0.0,2.0
A0FGR8,Extended synaptotagmin-2,ESYT2,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ESYT2,,,Level 4: Unmatched,0,,25.1753,0.0,1.0
A0MZ66,Shootin-1,KIAA1598,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KIAA1598,,,Level 4: Unmatched,0,25.8062,,1.0,0.0
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SSC5D,,,Level 4: Unmatched,0,29.87523333333333,26.853166666666667,6.0,6.0
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SSC5D,,,Level 4: Unmatched,0,30.469800000000003,28.12306666666667,3.0,3.0
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SSC5D,,,Level 4: Unmatched,0,30.099158333333335,27.279275,12.0,12.0
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SSC5D,,,Level 4: Unmatched,0,29.728908333333337,28.909881818181816,12.0,11.0
A1X283,SH3 and PX domain-containing protein 2B,SH3PXD2B,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,SH3PXD2B,,,Level 4: Unmatched,0,28.4736,,1.0,0.0
A4UGR9,Xin actin-binding repeat-containing protein 2,XIRP2,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,XIRP2,,,Level 4: Unmatched,0,,27.5641,0.0,1.0
A4UGR9,Xin actin-binding repeat-containing protein 2,XIRP2,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,XIRP2,,,Level 4: Unmatched,0,27.9449,27.55747142857143,1.0,7.0
A4UGR9,Xin actin-binding repeat-containing protein 2,XIRP2,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,XIRP2,,,Level 4: Unmatched,0,,27.26285,0.0,2.0
A5D8V6,Vacuolar protein sorting-associated protein 37C,VPS37C,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,VPS37C,,,Level 4: Unmatched,0,20.9694,,1.0,0.0
A6NDG6,Phosphoglycolate phosphatase,PGP,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,PGP,,,Level 4: Unmatched,0,,24.382800000000003,0.0,2.0
A6NHL2,Tubulin alpha chain-like 3,TUBAL3,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,TUBAL3,,,Level 4: Unmatched,0,21.0873,,1.0,0.0
A6NK02,Putative tripartite motif-containing protein 75,TRIM75P,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,TRIM75P,,,Level 4: Unmatched,0,,26.9141,0.0,1.0
A6NMZ7,Collagen alpha-6(VI) chain,COL6A6,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,COL6A6,Collagens,Core matrisome,Level 1: Gene Symbol,100,,22.878,0.0,1.0
B1AKI9,Isthmin-1,ISM1,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ISM1,Secreted Factors,Matrisome-associated,Level 1: Gene Symbol,100,,24.5275,0.0,1.0
B7ZAP0;Q9Y3P9,"Rab GTPase-activating protein 1-like, isoform 10;Rab GTPase-activating protein 1",RABGAP1L;RABGAP1,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,RABGAP1L;RABGAP1,,,Level 4: Unmatched,0,,21.5069,0.0,1.0
CON__A3EZ82;Q6E0U4,Dermokine,DMKN,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,DMKN,,,Level 4: Unmatched,0,,20.4628,0.0,1.0
CON__ENSEMBL:ENSP00000377550;P13646;CON__P13646-1,"Keratin, type I cytoskeletal 13",KRT13,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT13,,,Level 4: Unmatched,0,26.6742,,1.0,0.0
CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT14,,,Level 4: Unmatched,0,28.879160000000002,26.973899999999997,5.0,3.0
CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT14,,,Level 4: Unmatched,0,29.286933333333334,25.83095,3.0,2.0
CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT14,,,Level 4: Unmatched,0,29.173275,26.06059,12.0,10.0
CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT14,,,Level 4: Unmatched,0,27.809171428571425,25.983175,7.0,8.0
CON__P02538;P02538,"Keratin, type II cytoskeletal 6A",KRT6A,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6A,,,Level 4: Unmatched,0,28.5512,,1.0,0.0
CON__P02538;P02538,"Keratin, type II cytoskeletal 6A",KRT6A,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6A,,,Level 4: Unmatched,0,28.9311,,2.0,0.0
CON__P02768-1;P02768,Serum albumin,ALB,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ALB,,,Level 4: Unmatched,0,34.20648333333333,39.085966666666664,6.0,6.0
CON__P02768-1;P02768,Serum albumin,ALB,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ALB,,,Level 4: Unmatched,0,34.01506666666666,39.70813333333333,3.0,3.0
CON__P02768-1;P02768,Serum albumin,ALB,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ALB,,,Level 4: Unmatched,0,34.03890833333334,39.12226666666666,12.0,12.0
CON__P02768-1;P02768,Serum albumin,ALB,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,ALB,,,Level 4: Unmatched,0,36.870808333333336,38.53463333333333,12.0,12.0
CON__P04259,"Keratin, type II cytoskeletal 6B",KRT6B,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT6B,,,Level 4: Unmatched,0,28.9492,,1.0,0.0
CON__P04264,"Keratin, type II cytoskeletal 1",KRT1,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT1,,,Level 4: Unmatched,0,27.4369,,1.0,0.0
CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8,Intervertebral_disc_IAF,IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT8,,,Level 4: Unmatched,0,28.874016666666666,24.7435,6.0,5.0
CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8,Intervertebral_disc_NP,NP,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT8,,,Level 4: Unmatched,0,32.1932,26.095866666666666,3.0,3.0
CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8,Intervertebral_disc_NP/IAF,NP/IAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT8,,,Level 4: Unmatched,0,31.5304,25.98868,12.0,10.0
CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8,Intervertebral_disc_OAF,OAF,Homo sapiens,Label-free LC-MS/MS (MaxQuant LFQ),Tam_2020,KRT8,,,Level 4: Unmatched,0,25.189370000000004,24.178281818181816,10.0,11.0
