Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
ANXA5,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P08758,Annexin A5,14.509493,6.994102,-4.5603886,-0.35268036
ANXA6,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P08133,Annexin A6,14.412431,7.12537,-4.747357,-0.41970384
ANXA7,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P20073,Annexin A7,14.851389,7.39949,-4.656532,-0.37355462
ANXA8,8,9,ECM-affiliated Proteins,Matrisome-associated,O35640,Annexin A8;Annexin,20.127045,12.4484005,-17.955023,14.844835
ANXA8L2;ANXA8,16,23,ECM-affiliated Proteins,Matrisome-associated,Q5VT79;P13928,Annexin A8-like protein 2;Annexin A8,8.50208,12.795578,-8.752781,-2.5202537
ANXA9,21,21,ECM-affiliated Proteins,Matrisome-associated,Q9JHQ0,Annexin A9,7.524621,11.333535,-0.8969745,3.497419
ARG1,-1,-1,ECM Glycoproteins,Core matrisome,P05089,Arginase-1,14.480465,9.67232,-5.7384,-1.8929305
ASPN,-1,-1,Proteoglycans,Core matrisome,Q9BXN1,Asporin,11.799408,8.42018,-6.2748513,-0.59641993
ASTL,-1,-1,ECM Regulators,Matrisome-associated,Q6HA09,Astacin-like metalloendopeptidase;Isoform 2 of Astacin-like metalloendopeptidase,15.126197,7.4978657,-3.9138129,-0.08127808
Acan,-1,-1,Proteoglycans,Core matrisome,Q61282,,1.8227518,9.799684,2.0174809,2.563134
Adam10,-1,-1,ECM Regulators,Matrisome-associated,O35598,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),1.8851274,9.782745,1.6931075,2.6976895
Adam11,-1,12,ECM Regulators,Matrisome-associated,Q9R1V4,,-0.69758886,4.198677,4.0449476,4.930096
Adam17,-1,-1,ECM Regulators,Matrisome-associated,Q9Z0F8,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),2.6630802,6.886446,0.5555202,5.1480913
Adam22,14,12,ECM Regulators,Matrisome-associated,Q9R1V6-14,,-1.0366715,5.005056,4.373966,5.4053273
Adam23,13,12,ECM Regulators,Matrisome-associated,Q9R1V7,,-0.71930444,4.1939664,3.6108406,4.719328
Adam9,-1,-1,ECM Regulators,Matrisome-associated,Q61072,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase),7.3045993,12.280943,-0.24433513,3.053216
Adamtsl1,-1,-1,ECM Regulators,Matrisome-associated,Q8BLI0,ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1),6.9574227,10.829904,-0.3322191,3.7389317
Adamtsl4,-1,-1,ECM Regulators,Matrisome-associated,Q80T21,ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1),2.5038044,6.9900546,0.67232335,5.134925
Adipoq,-1,-1,ECM Glycoproteins,Core matrisome,Q60994,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)",2.78728,8.457623,0.053648263,5.404278
Aebp1,-1,-1,ECM Glycoproteins,Core matrisome,Q640N1,,9.02523,11.8359375,0.019222122,3.1890523
Agrn,-1,-1,ECM Glycoproteins,Core matrisome,A2ASQ1,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],2.649924,8.868617,1.1152966,5.2338142
Agt,-1,12,ECM Regulators,Matrisome-associated,Q3UTR7,Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4],-0.68069184,4.6674037,4.631551,5.3151326
Ambp,-1,-1,ECM Regulators,Matrisome-associated,Q07456,Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin],0.87201524,8.676979,0.50957227,2.20293
Angpt1,9,11,Secreted Factors,Matrisome-associated,O08538,Angiopoietin-1 (ANG-1),3.4759505,9.809599,0.78944445,1.0702267
Angptl1,-1,-1,Secreted Factors,Matrisome-associated,Q640P2,,2.2571948,9.534057,1.2888008,2.9874823
Angptl2,-1,-1,Secreted Factors,Matrisome-associated,Q9R045,Angiopoietin-related protein 2 (Angiopoietin-like protein 2),0.6268718,9.770277,0.54384375,1.518233
Angptl7,-1,-1,Secreted Factors,Matrisome-associated,Q8R1Q3,,0.79316574,8.73172,0.3570809,1.9932125
Anxa1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P10107,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35),2.2795324,8.282653,1.4986537,4.1093426
Anxa11,-1,8,ECM-affiliated Proteins,Matrisome-associated,P97384,Annexin A11 (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50),0.025645329,6.2627473,1.9257346,6.209393
Anxa2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P07356,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),2.3051503,8.086451,1.6954855,4.4990563
Anxa3,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O35639,Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III),3.6933422,8.968242,-0.03020807,5.6868577
Anxa4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P97429,Annexin A4 (Annexin IV) (Annexin-4),1.6610717,9.786596,1.9721614,2.4165154
Anxa5,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P48036,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),0.73177534,9.8902855,1.2497876,1.3399249
Anxa6,-1,8,ECM-affiliated Proteins,Matrisome-associated,F8WIT2,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),-0.40994608,6.0697784,2.35001,6.4075985
Anxa7,-1,8,ECM-affiliated Proteins,Matrisome-associated,Q07076,Annexin A7 (Annexin VII) (Annexin-7) (Synexin),-0.14230888,6.2021933,2.1843789,6.265178
Aspn,-1,-1,Proteoglycans,Core matrisome,Q99MQ4,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),0.6801317,8.688154,0.2465653,1.9320424
BCAN,-1,-1,Proteoglycans,Core matrisome,Q96GW7,Brevican core protein,13.034292,10.184109,-6.205848,-1.4690094
BGN,-1,-1,Proteoglycans,Core matrisome,P21810,Biglycan,12.280376,7.704448,-6.3822813,1.2101917
BMP1,-1,-1,ECM Regulators,Matrisome-associated,P13497,Bone morphogenetic protein 1,11.192108,10.6743555,-7.1664324,-1.3902456
BMP3,-1,-1,Secreted Factors,Matrisome-associated,P12645,Bone morphogenetic protein 3,10.810306,10.893006,-8.132012,-2.0165641
BMP5,19,16,Secreted Factors,Matrisome-associated,Q496P9,Bone morphogenetic protein 5,9.978293,6.5108953,-4.7765703,4.153194
BMP6,-1,-1,Secreted Factors,Matrisome-associated,P22004,Bone morphogenetic protein 6,7.312233,9.07608,-12.317321,1.5031128
BMP8A;BMP8B,17,18,Secreted Factors,Matrisome-associated,Q7Z5Y6;P34820,Bone morphogenetic protein 8A;Bone morphogenetic protein 8B,5.821627,13.188722,-12.852869,2.1337652
BMPER,-1,17,ECM Glycoproteins,Core matrisome,Q8N8U9,BMP-binding endothelial regulator protein,7.850385,11.768787,-12.402857,1.8221343
Bcan,14,12,Proteoglycans,Core matrisome,Q61361,,-0.95168036,4.883222,4.4389753,5.3489933
Bdnf,-1,-1,Secreted Factors,Matrisome-associated,P21237,,-1.7037518,6.497346,4.101332,6.094653
Bgn,-1,-1,Proteoglycans,Core matrisome,P28653,Biglycan (Bone/cartilage proteoglycan I) (PG-S1),1.2438096,9.736892,2.2572014,2.3614144
Brinp2,14,-1,Secreted Factors,Matrisome-associated,Q6DFY8,,-1.3588345,5.8103166,4.1927843,5.8310227
C17ORF58,0,0,ECM Regulators,Matrisome-associated,Q2M2W7,UPF0450 protein C17orf58,16.638956,5.49781,-0.8444906,11.632064
C17orf58,-1,-1,ECM Regulators,Matrisome-associated,Q2M2W7,UPF0450 protein C17orf58,13.322798,6.92184,-18.12662,14.184045
C1QA,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P02745,Complement C1q subcomponent subunit A,12.447564,6.143715,-8.25384,2.9080265
C1QB,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P02746,Complement C1q subcomponent subunit B,10.424843,8.786769,0.7989901,6.1817365
C1QC,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P02747,Complement C1q subcomponent subunit C,12.598512,6.290856,-8.163277,2.6321807
C1QTNF1,17,18,ECM-affiliated Proteins,Matrisome-associated,Q9BXJ1,Complement C1q tumor necrosis factor-related protein 1,5.832793,13.208746,-12.776054,2.0575624
C1QTNF2,8,9,ECM-affiliated Proteins,Matrisome-associated,Q9D8U4,Complement C1q tumor necrosis factor-related protein 2,20.071146,12.538142,-18.009327,15.075035
C1QTNF5,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9BXJ0,Complement C1q tumor necrosis factor-related protein 5,12.313676,6.1467924,-8.382535,2.841544
C1QTNF7,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9BXJ2,Complement C1q tumor necrosis factor-related protein 7,14.472221,9.6670475,-5.733119,-2.016309
C1QTNF8,16,23,ECM-affiliated Proteins,Matrisome-associated,P60827,Complement C1q tumor necrosis factor-related protein 8,8.518501,12.816149,-8.740065,-2.5256002
C1qa,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P98086,,1.4212611,9.911882,2.3006132,2.2649896
C1qb,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P14106,Complement C1q subcomponent subunit B,1.7110739,9.748733,2.18525,2.4063094
C1qc,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q02105,,1.941864,9.659712,2.0706687,2.7398658
C1ql3,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9ESN4,,-1.7244551,6.60067,4.3393884,6.4401245
C1qtnf4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8R066,,-1.504271,6.296255,4.4463754,6.31106
C1qtnf9,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q4ZJN1,Complement C1q and tumor necrosis factor-related protein 9,1.3330301,8.443476,0.76927155,3.669836
C7,-1,-1,Secreted Factors,Matrisome-associated,P10643,Complement component C7,12.203948,6.571766,-7.7240186,2.9831073
CAP2,0,0,ECM Regulators,Matrisome-associated,P40123,Adenylyl cyclase-associated protein 2,16.643152,5.3921585,-0.91959953,11.556624
CCL14,18,23,Secreted Factors,Matrisome-associated,Q16627,C-C motif chemokine 14;HCC-1(3-74);HCC-1(4-74);HCC-1(9-74),8.4534,12.504333,-9.556034,-1.4090128
CCL16,-1,-1,Secreted Factors,Matrisome-associated,O15467,C-C motif chemokine 16,9.450144,11.578532,-9.1562195,-1.5481051
CCL18,6,10,Secreted Factors,Matrisome-associated,P55774,C-C motif chemokine 18;CCL18(1-68);CCL18(3-69);CCL18(4-69),13.403968,9.703404,-6.331923,-0.8422876
CCL21,8,9,Secreted Factors,Matrisome-associated,O00585,C-C motif chemokine 21,20.083212,12.389595,-17.954338,15.089987
CCL21C;CCL21B;CCL21A,21,21,Secreted Factors,Matrisome-associated,P86793,C-C motif chemokine 21c;C-C motif chemokine 21b;C-C motif chemokine 21a,7.6126285,11.42415,-0.9447968,3.486307
CCL28,8,9,Secreted Factors,Matrisome-associated,Q9NRJ3,C-C motif chemokine 28,20.111404,12.650937,-17.931295,15.051392
CD109,-1,-1,ECM Regulators,Matrisome-associated,Q6YHK3,CD109 antigen,13.736929,9.666789,-5.5997953,-0.9829653
CD209,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9NNX6,CD209 antigen,6.8237658,12.72717,-12.478744,2.0201638
CELA3A;CELA3B,17,18,ECM Regulators,Matrisome-associated,P09093;P08861,Chymotrypsin-like elastase family member 3A;Chymotrypsin-like elastase family member 3B,5.8024807,13.180803,-12.841088,2.1038976
CHAD,-1,-1,Proteoglycans,Core matrisome,O15335,Chondroadherin,13.333598,9.987509,-6.063421,-1.8245244
CHADL,-1,15,Proteoglycans,Core matrisome,Q6NUI6,Chondroadherin-like protein,12.782092,10.305597,-6.4878006,-1.4812706
CHRD,-1,15,Secreted Factors,Matrisome-associated,Q9H2X0,Chordin,12.6406555,10.35572,-6.768818,-1.5353017
CHRDL1,19,16,Secreted Factors,Matrisome-associated,Q920C1,Chordin-like protein 1,9.6718,6.7188373,-4.3710656,4.1653786
CHRDL2,-1,-1,Secreted Factors,Matrisome-associated,Q6WN34,Chordin-like protein 2,14.045071,9.622877,-5.8108635,-1.4445784
CILP,-1,-1,ECM Glycoproteins,Core matrisome,O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,13.216924,6.895343,-6.877136,0.40720573
CILP2,-1,-1,ECM Glycoproteins,Core matrisome,Q8IUL8,Cartilage intermediate layer protein 2;Cartilage intermediate layer protein 2 C1;Cartilage intermediate layer protein 2 C2,13.678882,8.346277,-6.722114,0.27479848
CLC,17,18,ECM-affiliated Proteins,Matrisome-associated,Q05315,Galectin-10,5.8420525,13.201298,-12.773277,2.1098256
CLEC10A,-1,-1,ECM-affiliated Proteins,Matrisome-associated,A2CF65,C-type lectin domain family 10 member A (Fragment);C-type lectin domain family 10 member A;C-type lectin domain family 10 member A;C-type lectin domain family 10 member A,10.86004,8.891589,-0.7724828,3.3696322
CLEC11A,2,1,ECM-affiliated Proteins,Matrisome-associated,Q9Y240,C-type lectin domain family 11 member A,14.898541,4.4789658,-4.059251,7.8186164
CLEC14A,0,0,ECM-affiliated Proteins,Matrisome-associated,Q86T13,C-type lectin domain family 14 member A,16.667452,5.452035,-0.8765287,11.526505
CLEC18B,-1,-1,ECM-affiliated Proteins,Matrisome-associated,A0A087X0Q5,C-type lectin domain family 18 member B OS=Homo sapiens GN=CLEC18B PE=4 SV=1,13.474316,7.4615765,-5.4819026,1.7792854
CLEC1A,20,19,ECM-affiliated Proteins,Matrisome-associated,Q8BWY2,C-type lectin domain family 1 member A,7.286941,8.882594,-3.2475233,4.055874
CLEC3A,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O75596,C-type lectin domain family 3 member A,14.336729,9.586364,-5.728781,-1.6610295
CLEC3B,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P05452,Tetranectin,10.601509,10.96591,-6.3859873,-1.3984588
CLEC5A,-1,-1,ECM-affiliated Proteins,Matrisome-associated,C9JCE4,C-type lectin domain family 5 member A OS=Homo sapiens GN=CLEC5A PE=1 SV=1,13.317003,7.5639052,-5.5669756,1.7155132
CLGN,11,13,ECM Regulators,Matrisome-associated,O14967,Calmegin,4.4632683,8.638364,-0.16058366,5.5147123
COCH,8,9,ECM Glycoproteins,Core matrisome,O43405,Cochlin,20.195274,12.516544,-17.856195,14.967776
COL10A1,-1,-1,Collagens,Core matrisome,Q03692,Collagen alpha-1(X) chain,14.8608265,6.713537,-0.8121341,11.599292
COL11A1,-1,-1,Collagens,Core matrisome,P12107,Collagen alpha-1(XI) chain,14.952568,4.506643,-4.2271423,7.961811
COL11A2,-1,-1,Collagens,Core matrisome,P13942,Collagen alpha-2(XI) chain,14.4402485,9.537476,-5.735507,-1.7602856
COL12A1,-1,-1,Collagens,Core matrisome,Q99715,Collagen alpha-1(XII) chain,13.655586,8.079206,-6.191369,0.3963397
COL14A1,-1,-1,Collagens,Core matrisome,Q05707,Collagen alpha-1(XIV) chain,13.582074,8.186199,-6.4461308,0.39030394
COL15A1,-1,-1,Collagens,Core matrisome,P39059,Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4,13.214215,8.442187,-6.149467,0.50893986
COL16A1,-1,2,Collagens,Core matrisome,Q07092,Collagen alpha-1(XVI) chain,14.398732,8.145624,-5.4698114,0.084501445
COL17A1,8,9,Collagens,Core matrisome,Q9UMD9,Collagen alpha-1(XVII) chain,20.136675,12.657241,-17.940865,15.057716
COL18A1,-1,-1,Collagens,Core matrisome,P39060,Collagen alpha-1(XVIII) chain;Endostatin,12.785786,8.180416,-6.2822905,1.6119488
COL1A1,-1,-1,Collagens,Core matrisome,P02452,Collagen alpha-1(I) chain,14.481425,8.1556,-5.812805,0.12519988
COL1A2,-1,-1,Collagens,Core matrisome,P08123,Collagen alpha-2(I) chain,14.501555,8.1578865,-5.7075777,-0.033485405
COL21A1,-1,-1,Collagens,Core matrisome,Q96P44,Collagen alpha-1(XXI) chain,2.9826355,7.332626,1.110633,6.24385
COL22A1,-1,-1,Collagens,Core matrisome,Q8NFW1,Collagen alpha-1(XXII) chain,14.209847,6.8981085,-5.314778,1.7397175
COL27A1,16,23,Collagens,Core matrisome,Q8IZC6,Collagen alpha-1(XXVII) chain,8.500641,12.76981,-8.725008,-2.5710802
COL28A1,-1,-1,Collagens,Core matrisome,Q2UY09,Collagen alpha-1(XXVIII) chain,3.774316,7.316381,-6.3408284,-1.1527649
COL2A1,-1,-1,Collagens,Core matrisome,P02458,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,13.825486,6.9519453,-4.939061,-0.5179253
COL3A1,-1,-1,Collagens,Core matrisome,P02461,Collagen alpha-1(III) chain,14.508406,8.122443,-5.8729095,0.11232664
COL4A1,-1,2,Collagens,Core matrisome,P02462,Collagen alpha-1(IV) chain;Arresten,14.677488,7.213552,-5.2035227,0.82551646
COL4A2,-1,-1,Collagens,Core matrisome,P08572,Collagen alpha-2(IV) chain;Canstatin,14.637392,7.9870796,-5.469565,0.37682906
COL4A3,-1,-1,Collagens,Core matrisome,Q9QZS0,Collagen alpha-3(IV) chain;Tumstatin,14.818789,6.639739,-4.3780065,1.6750658
COL4A4,-1,4,Collagens,Core matrisome,Q9QZR9,Collagen alpha-4(IV) chain,14.309084,6.545168,-4.412646,1.7566688
COL4A5,2,1,Collagens,Core matrisome,Q63ZW6,Collagen alpha-5(IV) chain,14.702672,4.8054733,-3.9784532,7.6417785
COL4A6,-1,-1,Collagens,Core matrisome,Q9ESQ1,Collagen alpha-6(IV) chain,14.683084,6.7638726,-4.473727,1.6325517
COL5A1,-1,2,Collagens,Core matrisome,P20908,Collagen alpha-1(V) chain,14.539915,8.173044,-5.721758,-0.043504827
COL5A2,-1,-1,Collagens,Core matrisome,P05997,Collagen alpha-2(V) chain,14.511866,8.105561,-5.8421836,0.06485211
COL5A3,0,0,Collagens,Core matrisome,P25940,Collagen alpha-3(V) chain,16.6301,5.4005556,-0.87516606,11.608259
COL6A1,-1,-1,Collagens,Core matrisome,P12109,Collagen alpha-1(VI) chain,14.273909,8.108877,-6.047073,0.32568717
COL6A2,-1,-1,Collagens,Core matrisome,P12110,Collagen alpha-2(VI) chain,13.458327,8.225433,-6.227771,0.48027292
COL6A3,-1,-1,Collagens,Core matrisome,P12111,Collagen alpha-3(VI) chain,13.288163,8.098501,-6.2978516,0.6326989
COL6A4,-1,-1,Collagens,Core matrisome,A2AX52,Collagen alpha-4(VI) chain,13.77427,8.378458,-6.89417,0.3551849
