Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Protein_Group
Tam_2020,Intervertebral_disc,IAF,26.676300000000005,,27.521733333333337,,TGM2,TGM2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),5.0,6.0,P21980,Protein-glutamine gamma-glutamyltransferase 2,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.22771599236555173,-0.5736072273159205,-0.3458912349503688,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,28.1569,,30.09346666666666,,LOX,LOX,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P28300,Protein-lysine 6-oxidase,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.4760866037947848,-0.1340188977199392,0.3420677060748456,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,29.60043333333334,,30.405733333333337,,LOXL3,LOXL3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P58215,Lysyl oxidase homolog 3,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.13103711730845757,0.2945643838659893,0.4256015011744469,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,30.80253333333333,,30.37805,,PLOD1,PLOD1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,0.23327041273275662,0.6514664039979141,0.4181959912651575,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,25.1493,,25.57475,,LOXL4,LOXL4,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,2.0,Q96JB6,Lysyl oxidase homolog 4,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.16024703444133925,-1.026971660176295,-0.8667246257349558,Original,Crosslinking
Tam_2020,Intervertebral_disc,IAF,29.307383333333338,,30.9078,,LOXL2,LOXL2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,Q9Y4K0,Lysyl oxidase homolog 2,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.3523500953766888,0.207558197192949,0.5599082925696378,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,27.844645454545457,,28.7091,,PLOD2,PLOD2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),11.0,11.0,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.0601028024021171,0.0269273469706377,0.0870301493727548,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,25.66995555555556,,25.44175,,P4HA2,P4HA2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),9.0,6.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.23867481140357005,-0.6646862441409261,-0.9033610555444962,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,26.972390909090905,,27.343090909090908,,P4HA1,P4HA1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),11.0,11.0,P13674,Prolyl 4-hydroxylase subunit alpha-1,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.06909303127201177,-0.2439981602788152,-0.313091191550827,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,26.30311666666667,,26.941616666666665,,TGM2,TGM2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P21980,Protein-glutamine gamma-glutamyltransferase 2,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.023307651479110902,-0.4576682363359614,-0.4343605848568505,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,29.249858333333336,,30.93939166666667,,LOX,LOX,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P28300,Protein-lysine 6-oxidase,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.25573950664002404,0.4466167621171779,0.7023562687572019,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,28.29339166666667,,30.236049999999995,,LOXL3,LOXL3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P58215,Lysyl oxidase homolog 3,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.3499382727812419,0.1631345779891901,0.513072850770432,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,29.352666666666668,,29.062808333333333,,PLOD1,PLOD1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.28891492029210253,0.4765524418802799,0.1876375215881774,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,25.02393333333333,,25.7355875,,LOXL4,LOXL4,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),9.0,8.0,Q96JB6,Lysyl oxidase homolog 4,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.07161916306787863,-0.8810378259253528,-0.8094186628574742,Original,Crosslinking
Tam_2020,Intervertebral_disc,OAF,27.899091666666664,,30.03255,,LOXL2,LOXL2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,Q9Y4K0,Lysyl oxidase homolog 2,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.41394557835045154,0.0435658411970051,0.4575114195474566,Original,Crosslinking
Santinha_2024_Human,Heart,Native_Tissue,14.143675472153884,,12.946363934972116,,LOXL1,LOXL1,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,Q08397,Lysyl oxidase homolog 1 (EC 1.4.3.-) (Lysyl oxidase-like protein 1) (LOL),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,1.0584147243026931,-1.077538005490822,-2.135952729793515,,Crosslinking
Santinha_2024_Human,Heart,Native_Tissue,15.369259577418992,,15.091810385877809,,P4HA1,P4HA1,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P13674,"Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)",Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,-0.05781639555713036,0.2790815752523774,0.3368979708095078,,Crosslinking
Santinha_2024_Human,Heart,Native_Tissue,14.445311158583072,,14.283210629060727,,PLOD1,PLOD1,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,-0.14855486365448722,-0.7436524102853942,-0.595097546630907,,Crosslinking
Santinha_2024_Human,Heart,Native_Tissue,16.21502197452558,,16.120081824615017,,TGM2,TGM2,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P21980,Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Tissue transglutaminase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase-2) (TGase-2),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,-0.30681785942390616,1.2152701433334818,1.522088002757388,,Crosslinking
Santinha_2024_Human,Heart,Native_Tissue,14.483768036873537,,14.468938870669662,,PLOD3,PLOD3,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3)",Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,-0.3200574616263775,-0.7010838473618265,-0.381026385735449,,Crosslinking
Santinha_2024_Human,Heart,Native_Tissue,14.110846762199232,,14.141269403123568,,P4HA2,P4HA2,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,O15460,"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,-0.35517704747954515,-1.1138766545836856,-0.7586996071041404,,Crosslinking
LiDermis_2021,Skin dermis,Skin dermis,5.09934654963972,5.09934654963972,8.871833998932427,8.871833998932427,P4HA2,P4HA2,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,1.0,4.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-1.1325088766403815,-1.3617537827676116,-0.2292449061272301,,Crosslinking
LiDermis_2021,Skin dermis,Skin dermis,6.65582101615415,6.65582101615415,8.15373367395563,8.15373367395563,P4HA1,P4HA1,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,1.0,5.0,P13674,Prolyl 4-hydroxylase subunit alpha-1,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,-0.5018989199062316,-0.9397422202555936,-0.437843300349362,,Crosslinking
LiDermis_2021,Skin dermis,Skin dermis,6.65655076226675,6.65655076226675,6.361217866563305,6.361217866563305,TGM2,TGM2,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,1.0,4.0,P21980,Protein-glutamine gamma-glutamyltransferase 2 {ECO:0000305},Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,0.019000442056515743,-0.9395443620164504,-0.9585448040729662,,Crosslinking
LiDermis_2021,Skin dermis,Skin dermis,13.812568702903732,13.812568702903732,12.7091071090171,12.7091071090171,LOX,LOX,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,3.0,5.0,P28300,Protein-lysine 6-oxidase,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,0.11525728603849406,1.000688116872241,0.885430830833747,,Crosslinking
LiDermis_2021,Skin dermis,Skin dermis,9.87488178013233,9.87488178013233,8.29746715995998,8.29746715995998,LOXL1,LOXL1,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS,1.0,1.0,Q08397,Lysyl oxidase homolog 1,Homo sapiens,LiDermis_2021,Skin dermis,Skin dermis,0.3291419960928012,-0.066948678149024,-0.3960906742418252,,Crosslinking
,,,1844077.4319583431,,658848.6034577764,,TGM2,TGM2,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Glomerular,Glomerular,0.1407761286445124,-0.0489469246642351,-0.1897230533087475,,Crosslinking
,,,531160.4914485373,,290013.594463914,,TGM2,TGM2,100.0,exact_gene,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (Progenesis + Mascot),,,P21980,Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2,Homo sapiens,Randles_2021,Kidney_Tubulointerstitial,Tubulointerstitial,-0.07600840370210993,-0.7316636099872357,-0.6556552062851257,,Crosslinking
