Protein,Community
Slit2,4
Slit3,4
Spock1,4
Spock2,4
Spon1,4
Tgm2,4
Thbs4,4
Timp2,4
Tinagl1,4
Tnc,4
Tnr,4
Vcan,4
Vwa1,4
Vwa5b2,4
Vwf,4
Wnt10a,4
ABI3BP,1
ADAM10,3
ADIPOQ,2
ANGPTL3,1
ANGPTL7,1
ANXA1,1
ANXA2;ANXA2P2,1
ANXA3,1
ASPN,1
Adipoq,3
Ambp,3
BCAN,1
BGN,1
BMP1,1
CAP2,3
CCL14,1
CCL16,1
CCL18,1
CD209,1
CHADL,1
CHRD,1
CHRDL2,1
CILP,1
CLEC14A,3
CLEC3A,1
CLEC3B,1
COL11A2,1
COL12A1,1
COL5A1,1
COL5A2,1
COL6A1,1
COL6A3,1
COL8A1,1
COL9A1,1
COL9A2,1
COL9A3,1
COMP,1
CRISPLD1,1
CST3,1
CTGF,1
CTSA,1
CXCL12,1
CYR61,1
Col14a1,3
Col15a1,3
Col4a1,3
Col4a2,3
Ctsd,3
DCN,1
EDIL3,1
EMILIN1,1
EPYC,1
Efemp1,3
F7,1
FCN3,1
FGFBP2,1
FRZB,1
FSTL3,1
Fbln5,3
GDF6,1
HABP2,1
HAPLN1,1
HHIP,1
Hpx,3
IGF2,1
IGFBP3,1
IGFBP7,1
IL11,1
IL17B,1
Itih1,3
Itih3,3
KERA,1
LEPRE1,1
LGALS1,1
LOXL4,1
LTBP1,1
LTBP3,1
LUM,1
MASP1,1
MASP2,1
MATN2,1
MATN3,1
MFAP2,1
Mfge8,3
NOV,1
P4HA1,1
PAMR1,1
PCOLCE,1
PDGFC,1
PLOD2,1
PLOD3,2
PPBP,1
PRG3,2
PRSS3P2;PRSS2;PRSS1,1
PTN,1
Pcolce,3
Pxdn,3
REG1A;REG1B,1
REG3A,1
S100A10,1
SCUBE1,1
SERPING1,1
SLPI,1
SMOC2,1
SPARC,1
SPP1,1
SRPX,1
SULF2,1
Serpinf1,3
Serpinh1,3
TGFBI,1
TGM2,1
THBS3,1
TIMP2,1
TNC,1
TNFAIP6,1
TSKU,1
VIT,1
VWA5A,2
VWF,1
Vtn,3
WISP3,1
ANXA6,1
COL11A1,1
COL5A3,3
COL8A2,2
CPN2,2
FGA,1
FGB,1
FNDC1,1
ITIH5,2
KNG1,1
MME,2
PLG,1
POSTN,1
S100A4,1
SERPINE2,1
THBS4,1
TIMP1,2
VCAN,1
ADAM12,2
ADAM17,0
ADAM9,3
ADAMTS1,2
ADAMTS4,3
ANGPTL1,2
ANXA2,0
BMP8A;BMP8B,2
C17ORF58,2
C1QC,2
C1QTNF1,2
CELA3A;CELA3B,2
CLC,2
CLGN,3
CTSF,2
Clec10a,3
Clec1a,3
Clec3b,3
EGLN1,3
FGF12,3
Fam20b,3
Fcn1,3
GAS6,3
GREM1,2
HCFC1,3
HGF,2
Habp2,3
Hgfac,3
IHH,2
ISM1,2
Igfals,3
LAMA4,2
LAMB1,3
LGI4,2
Lgals3,3
MDK,2
MIF,2
MMP1,2
Masp1,3
Masp2,3
Mgp,3
NGF,2
NRP1,3
NRP2,2
P3H1,3
P3h1,3
PAPLN,2
PCSK6,2
PLXND1,3
PXDNL,3
PXN,3
Plod1,3
Plod3,3
S100P,3
SCYL1,3
SERPINA7,2
SFRP1,2
SFRP4,2
SLIT2,2
SMAP,3
Sfrp1,3
Sulf2,3
TNN,2
WNT11,2
ADAMTSL2,2
ANGPTL4,2
ARG1,2
C1QTNF5,2
COL22A1,2
CPAMD8,2
ELANE,2
FAM20C,2
FGL1,2
GDF10,2
GDF5,2
HGFAC,2
HTRA3,2
HYAL1,2
INHBA,2
INHBC,2
ISM2,2
ITIH6,2
KAL1,2
LEFTY2;LEFTY1,2
LPA,1
MBL2,2
MMP3,2
MPI,2
MST1;MST1L,2
PF4;PF4V1,2
S100A12,2
SCUBE3,2
SEMA3D,2
SMOC1,2
SPON2,2
TGM3,2
THSD4,2
VEGFA,2
ADAM15,2
ADAMTS16,1
ANGPTL6,2
ANXA8L2;ANXA8,1
C1QB,2
C1QTNF8,1
CLEC18B,2
CLEC5A,2
COL27A1,1
CXCL10,1
F2,1
GLDN,1
IGFBP4,1
IL17D,1
LAMA1,2
LGALS8,3
LMAN1,2
MMP13,2
PXDN,0
S100A11,2
S100A7A,2
S100A7L2,1
SBSPON,2
SERPINC1,1
SERPIND1,1
SMAP2,2
ADAMTS2,2
AEBP1,0
ASTL,0
CD109,1
CLEC10A,0
CST12,0
CTSZ,0
DSP,1
EMILIN3,1
FBLN2,1
FCN1,0
IBSP,2
INHA,0
LAMA5,1
LAMB2,0
LEP,2
LGALS3,1
MATN1,2
OGN,1
P4HA2,1
PAPPA,2
PCSK5,2
PODNL1,2
PRELP,1
PRL7C1,0
PRSS1,0
REG4,2
SERPINA3G,0
SERPINA3K,0
SERPINB6,2
SERPINE1,3
SULF1,2
TRY10,0
VWA3B,0
WFIKKN2,2
WNT6,0
ZP1,0
ZP2,0
ZP3,0
ADAM19,2
ADAMTS5,2
AGT,2
COL21A1,3
COL4A1,1
CSTA,2
CSTB,2
CTSB,2
CTSG,2
EBI3,2
EGF,2
ELN,2
F13A1,2
FBLN1,2
FBLN5,2
FBN2,3
FCN2,1
FLG,2
FLG2,2
FN1,2
GDF15,2
HRNR,2
HTRA1,2
KCP,2
LGALS2,2
MGP,2
MMRN2,2
MUC1,2
NTN3,2
PDF,2
PRSS2,2
SDC1,2
SDC2,1
SEMA3B,2
SEMA3G,2
SERPINA5,2
SERPINI2,2
TINAG,2
VWA1,2
WISP2,2
ANXA5,1
Adam17,3
Adamtsl4,3
Colec12,3
DPT,1
F9,2
MFGE8,1
Mfap4,3
S100A9,2
SERPINH1,3
Serpina10,3
COL28A1,2
HMCN1,2
PDGFD,2
WIF1,2
Angptl2,3
Cap2,3
Cpn2,3
Ctsa,3
Ctsc,3
Eln,3
Emilin2,3
Fgf13,3
Fgl2,3
Hrg,3
Lgals8,3
Lgals9,3
Lgalsl,3
Loxl2,3
Ltbp1,3
Mbl1,3
Mfap5,3
Mmp2,3
Mmrn1,3
Ngly1,3
Ntn1,3
Plxdc2,3
S100a13,3
Sema3b,3
Serpina6,3
Thbs1,3
COL16A1,3
COL18A1,2
COL7A1,0
ANGPTL2,2
NID1,2
TINAGL1,0
EMILIN2,0
THBS1,0
ANXA4,1
COL2A1,1
COL4A2,2
IGFALS,1
LAMC1,2
ANXA11,2
ANXA7,2
S100A16,2
PLXDC2,2
S100A8,2
C7,1
ITIH3,1
LRG1,1
Lgals1,3
Serpina1b,3
AMBP,2
F10,2
CSPG4,1
LAMA2,2
S100A6,2
MFAP4,2
SERPINB1,2
F12,1
Col5a2,3
Col6a6,3
Pzp,3
Cd109,4
Adamtsl1,3
Angpt1,3
Cilp,3
Col18a1,3
Col4a4,3
Col6a5,3
Colec11,3
Ctsf,3
Cxcl12,3
Egfl7,3
Emilin1,3
F13b,3
Fbln1,3
Fbln2,3
Gas6,3
Hmcn1,3
Il16,3
Kcp,3
Loxl1,3
Ltbp2,3
Ltbp4,3
Mbl2,3
Megf6,3
Mmrn2,3
Npnt,3
Ogn,3
Pcolce2,3
Plg,3
Rif1,3
S100a10,3
Sparcl1,3
Srpx,3
Srpx2,3
Tgm1,3
Thbs3,3
Vwa5a,3
Ctsl,3
Cyr61,3
Fgfbp1,3
Cilp2,3
Col2a1,3
Col4a3,3
Col5a1,3
Lama3,3
Serpina1a,3
Smoc2,3
Angptl7,3
Aspn,3
Chad,3
Comp,3
Ctsb,3
Dpt,3
F13a1,3
Igfbp5,3
Itih4,3
Kera,3
Lama4,3
Mstn,3
Podn,3
Postn,3
Sema3c,3
Serpina3m,3
Serpinb6a,3
Serpinc1,3
Serpind1,3
Serpine2,3
Serpinf2,3
Serping1,3
Sparc,3
Aebp1,3
Col11a1,3
Col3a1,3
Col8a2,3
Efemp2,3
Fbn2,3
Fgf2,3
S100a9,3
Serpinb5,3
Thbs2,3
C1qtnf9,3
Col11a2,3
Papln,3
Tgfbi,3
Cst3,3
Nid1,3
Col25a1,3
Cx3cl1,3
Gpc4,3
Igfbp6,3
Lgi2,3
Mbp,3
Ogfod1,3
Pik3ip1,3
S100a16,3
Sdc4,3
Serpinb6,3
Serpinb9,3
Try4,3
Fbn1,3
Itih5,3
Col6a2,4
Col1a1,4
Ecm1,3
GPC6,2
ZP4,2
EFEMP1,1
Serpinb8,3
