Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Young_Original,Abundance_Old_Original,Insight_Relevance
Tam_2020,Intervertebral_disc,IAF,32.32141666666667,,23.5993,,SERPINC1,SERPINC1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,3.0,P01008,Antithrombin-III,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,1.9579460060595808,1.0391449395026924,-0.8318695290379573,Original,23.5993,32.32141666666667,S1_Coagulation
Tam_2020,Intervertebral_disc,IAF,33.80161666666667,,25.78385,,FGA,FGA,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P02671,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,1.7903377008931536,1.406285398932116,-0.3818819992014374,Original,25.78385,33.80161666666667,S1_Coagulation
Tam_2020,Intervertebral_disc,IAF,33.84285,,26.83705,,FGB,FGB,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P02675,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,1.5495284187395115,1.416512682369358,-0.1649371517848883,Original,26.83705,33.84285,G1_Universal;S1_Coagulation
Tam_2020,Intervertebral_disc,IAF,28.909916666666664,,15.02848844116562,,LRG1,LRG1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),6.0,0.0,P02750,Leucine-rich alpha-2-glycoprotein,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,3.185664421906503,0.1929757209217675,-2.5973399106058643,Original,,28.909916666666664,G1_Universal
Tam_2020,Intervertebral_disc,IAF,33.416533333333334,,24.055975,,VTN,VTN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),6.0,4.0,P04004,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,2.1098706538875462,1.3107715008652234,-0.7378007024200759,Original,24.055975,33.416533333333334,G1_Universal
Tam_2020,Intervertebral_disc,IAF,31.231166666666667,,28.333766666666676,,TIMP3,TIMP3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,0.5718866767848794,0.7687254786913614,0.1433660848993196,Original,28.333766666666676,31.231166666666667,S3_TIMP3
Tam_2020,Intervertebral_disc,IAF,32.17298333333333,,33.12623333333334,,PCOLCE,PCOLCE,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,Q15113,Procollagen C-endopeptidase enhancer 1,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.3444204436653202,1.002328372691015,1.1305489084360616,Original,33.12623333333334,32.17298333333333,G2_Quality_Paradigm
Tam_2020,Intervertebral_disc,IAF,27.14805,,18.02902508015273,,FCN2,FCN2,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,Q15485,Ficolin-2,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,2.052394958458483,-0.2440277498614965,-1.979270253073749,Original,,27.14805,G1_Universal
Tam_2020,Intervertebral_disc,OAF,36.673975000000006,,36.94691666666666,,CILP,CILP,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.2091916379875237,2.1865875694430756,1.9279832495369644,Original,36.94691666666666,36.673975000000006,Supporting
Tam_2020,Intervertebral_disc,OAF,30.010325,,26.150925,,F2,F2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.8652385582173048,0.6007731396515539,-0.1549889620924076,Original,26.150925,30.010325,G1_Universal
Tam_2020,Intervertebral_disc,OAF,31.41454166666667,,29.05070000000001,,SERPINC1,SERPINC1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P01008,Antithrombin-III,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.476385659997181,0.934948411845284,0.4044919018681435,Original,29.050700000000003,31.41454166666667,S1_Coagulation
Tam_2020,Intervertebral_disc,OAF,34.02445,,29.742075,,FGA,FGA,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P02671,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.9752142448614164,1.5560540064418098,0.5378853831971162,Original,29.742075,34.02445,S1_Coagulation
Tam_2020,Intervertebral_disc,OAF,34.48910833333334,,30.467008333333336,,FGB,FGB,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P02675,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.9075413993237472,1.6666333270728286,0.6777535894017827,Original,30.467008333333336,34.48910833333334,G1_Universal;S1_Coagulation
Tam_2020,Intervertebral_disc,OAF,28.799025000000004,,26.1182625,,LRG1,LRG1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),12.0,8.0,P02750,Leucine-rich alpha-2-glycoprotein,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.5587867150421795,0.3125081469213736,-0.1612908454175318,Original,26.1182625,28.799025000000004,G1_Universal
Tam_2020,Intervertebral_disc,OAF,34.45336666666666,,29.98189166666667,,VTN,VTN,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P04004,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,1.0243812224473263,1.6581275305881962,0.5841554682412344,Original,29.98189166666667,34.45336666666666,G1_Universal
Tam_2020,Intervertebral_disc,OAF,29.346566666666675,,26.54455714285714,,TIMP3,TIMP3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,7.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.5903115680406027,0.4428120308156516,-0.0790418105484584,Original,26.54455714285714,29.34656666666667,S3_TIMP3
Tam_2020,Intervertebral_disc,OAF,31.93954166666667,,32.368824999999994,,PCOLCE,PCOLCE,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,Q15113,Procollagen C-endopeptidase enhancer 1,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,-0.2498412795567696,1.0598878332795658,1.0446889660297056,Original,32.368824999999994,31.93954166666667,G2_Quality_Paradigm
Tam_2020,Intervertebral_disc,OAF,25.4598,,18.02902508015273,,FCN2,FCN2,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),5.0,0.0,Q15485,Ficolin-2,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,1.7938145002322274,-0.482160118866985,-1.7220235024126993,Original,,25.4598,G1_Universal
Tam_2020,Intervertebral_disc,OAF,22.6335,,14.777434233955796,,CLEC14A,CLEC14A,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,Q86T13,C-type lectin domain family 14 member A,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,1.9043923188597187,-1.15476256991405,-2.349383506508354,Original,,22.6335,S4_Tissue_Specific
Angelidis_2019,Lung,Lung,29.3273775,4.87417616370124,30.781225,4.94397874261125,Col14a1,COL14A1,1.0,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4.0,4.0,B7ZNH7,Collagen alpha-1(XIV) chain,Mus musculus,Angelidis_2019,Lung,Lung,-0.781150876041531,0.0747781074186554,0.497308421153375,Original,30.781225,29.3273775,G1_Universal
Angelidis_2019,Lung,Lung,33.8211325,5.079853064061005,33.097265,5.048640099413445,Col4a1,COL4A1,1.0,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),4.0,4.0,P02463,Collagen alpha-1(IV) chain;Arresten,Mus musculus,Angelidis_2019,Lung,Lung,0.4137018076850522,1.2590136741257176,1.1718669390801582,Enriched_UniProt,33.097265,33.8211325,G4_Weak_Signals
Angelidis_2019,Lung,Lung,26.9028475,4.749686976097297,26.232155,4.713264426321957,F2,F2,1.0,Gene_Symbol_or_UniProt,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),4.0,4.0,P19221,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain;Prothrombin,Mus musculus,Angelidis_2019,Lung,Lung,0.3845261389418253,-0.5641562934439365,-0.8276315268376744,Enriched_UniProt,26.232155,26.9028475,G1_Universal
Dipali_2023,Ovary,Ovary,20.508201474883112,20.508200507516968,20.50855927122021,20.50855830409395,Col4a1,COL4A1,1.0,Gene_Symbol_or_UniProt,Collagens,Core matrisome,Label-free DIA (directDIA),5.0,5.0,P02463,Collagen alpha-1(IV) chain,Mus musculus,Dipali_2023,Ovary,Ovary,-0.0836316760236478,0.4218665965454287,0.4325437440990447,Enriched_UniProt,20.50855927122021,20.508201474883112,G4_Weak_Signals
Dipali_2023,Ovary,Ovary,21.357946869722944,21.357946332948337,20.78928748753187,20.789286691417363,Sfrp4,SFRP4,1.0,Gene_Symbol_or_UniProt,Secreted Factors,Matrisome-associated,Label-free DIA (directDIA),5.0,5.0,Q9Z1N6,Secreted frizzled-related sequence protein 4,Mus musculus,Dipali_2023,Ovary,Ovary,0.7932919018571672,0.6829703298298716,0.5176242065383322,Original,20.78928748753187,21.357946869722944,G4_Weak_Signals
Schuler_2021_Soleus,Skeletal muscle,Soleus,16.642140874,16.642140874,15.023362682,15.023362682,Col11a2,Col11a2,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,Q64739,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,4.389677342903284,1.943350026266016,0.074838811249778,,15.023362682,16.642140874,Supporting
Schuler_2021_Soleus,Skeletal muscle,Soleus,15.627978694,15.627978694,14.301731706,14.301731706,Hp,Hp,0.0,Unmatched,Non-ECM,Non-ECM,LFQ,3.0,3.0,Q61646,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,3.632099683396417,0.8244827341917369,-0.7377980715838635,,14.301731706,15.627978694,G1_Universal
Schuler_2021_Soleus,Skeletal muscle,Soleus,13.906284178,13.906284178,15.222812044,15.222812044,Col14a1,Col14a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,Q80X19,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-3.211981088571167,-1.0749646312149057,0.299441015436254,,15.222812044,13.906284178,G1_Universal
Schuler_2021_Soleus,Skeletal muscle,Soleus,15.63811315,15.63811315,15.164494158,15.164494158,Col4a1,Col4a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,P02463,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,1.4240209799712895,0.8356635014940309,0.2337685780428693,,15.164494158,15.63811315,G4_Weak_Signals
Schuler_2021_Soleus,Skeletal muscle,Soleus,14.94679222,14.94679222,15.12405904,15.12405904,F2,F2,100.0,exact_gene,ECM Regulators,Matrisome-associated,LFQ,3.0,3.0,P19221,,Mus musculus,Schuler_2021,Skeletal_muscle_Soleus,Skeletal_muscle_Soleus,-0.2615993686230078,0.0729685478098237,0.1882341299089105,,15.12405904,14.94679222,G1_Universal
Schuler_2021_Gastrocnemius,Skeletal muscle,Gastrocnemius,13.322848516,13.322848516,14.666006512,14.666006512,Col14a1,Col14a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,Q80X19,,Mus musculus,Schuler_2021,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Gastrocnemius,-3.945555998198077,-0.9570267198074476,0.5236004859002577,,14.666006512,13.322848516,G1_Universal
Schuler_2021_Gastrocnemius,Skeletal muscle,Gastrocnemius,15.333068954,15.333068954,13.832333574,13.832333574,Hp,Hp,0.0,Unmatched,Non-ECM,Non-ECM,LFQ,3.0,3.0,Q61646,,Mus musculus,Schuler_2021,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Gastrocnemius,3.806827963806928,1.0724324505775684,-0.3504051789869278,,13.832333574,15.333068954,G1_Universal
Schuler_2021_Gastrocnemius,Skeletal muscle,Gastrocnemius,15.06169719,15.06169719,14.399875378,14.399875378,Col4a1,Col4a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,P02463,,Mus musculus,Schuler_2021,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Gastrocnemius,1.5199700439720307,0.7984635342226559,0.244594045704583,,14.399875378,15.06169719,G4_Weak_Signals
Schuler_2021_Gastrocnemius,Skeletal muscle,Gastrocnemius,13.897795174000002,13.897795174,13.739585154,13.739585154,F2,F2,100.0,exact_gene,ECM Regulators,Matrisome-associated,LFQ,3.0,3.0,P19221,,Mus musculus,Schuler_2021,Skeletal_muscle_Gastrocnemius,Skeletal_muscle_Gastrocnemius,0.1471365853320602,-0.3765775583606463,-0.4476407263993299,,13.739585154,13.897795174,G1_Universal
Schuler_2021_TA,Skeletal muscle,TA,16.15019934,16.15019934,14.122684308,14.122684308,Hp,Hp,0.0,Unmatched,Non-ECM,Non-ECM,LFQ,3.0,3.0,Q61646,,Mus musculus,Schuler_2021,Skeletal_muscle_TA,Skeletal_muscle_TA,4.4724258394868475,0.9830379260078844,-1.0306827933833438,,14.122684308,16.15019934,G1_Universal
Schuler_2021_TA,Skeletal muscle,TA,13.190717386,13.190717386,14.59920058,14.59920058,Col14a1,Col14a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,Q80X19,,Mus musculus,Schuler_2021,Skeletal_muscle_TA,Skeletal_muscle_TA,-3.0345961030892763,-1.858560262461517,-0.5506959828536024,,14.59920058,13.190717386,G1_Universal
Schuler_2021_TA,Skeletal muscle,TA,14.564321316,14.564321316,15.375526194,15.375526194,Col11a2,Col11a2,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,Q64739,,Mus musculus,Schuler_2021,Skeletal_muscle_TA,Skeletal_muscle_TA,-1.7296532221214134,-0.5396705041080694,0.2312837254834171,,15.375526194,14.564321316,Supporting
Schuler_2021_TA,Skeletal muscle,TA,15.559071602,15.559071602,15.22508574,15.22508574,F2,F2,100.0,exact_gene,ECM Regulators,Matrisome-associated,LFQ,3.0,3.0,P19221,,Mus musculus,Schuler_2021,Skeletal_muscle_TA,Skeletal_muscle_TA,0.7723771772432307,0.4154563236992472,0.0797475913928979,,15.22508574,15.559071602,G1_Universal
Schuler_2021_TA,Skeletal muscle,TA,16.008227678,16.008227678,15.737879742,15.737879742,Col4a1,Col4a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,P02463,,Mus musculus,Schuler_2021,Skeletal_muscle_TA,Skeletal_muscle_TA,0.6333400545674802,0.846721359857541,0.5962763479990562,,15.737879742,16.008227678,G4_Weak_Signals
Schuler_2021_EDL,Skeletal muscle,EDL,14.32222383,14.32222383,12.569307772,12.569307772,Hp,Hp,0.0,Unmatched,Non-ECM,Non-ECM,LFQ,3.0,3.0,Q61646,,Mus musculus,Schuler_2021,Skeletal_muscle_EDL,Skeletal_muscle_EDL,4.82965991067657,0.2231171902977572,-1.92831597042204,,12.569307772,14.32222383,G1_Universal
Schuler_2021_EDL,Skeletal muscle,EDL,12.123733898,12.123733898,13.40352359,13.40352359,Col14a1,Col14a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,Q80X19,,Mus musculus,Schuler_2021,Skeletal_muscle_EDL,Skeletal_muscle_EDL,-3.429885166184411,-2.380326299887182,-0.9133566296721738,,13.40352359,12.123733898,G1_Universal
Schuler_2021_EDL,Skeletal muscle,EDL,15.120927874,15.120927874,14.809176016,14.809176016,Col4a1,Col4a1,100.0,exact_gene,Collagens,Core matrisome,LFQ,3.0,3.0,P02463,,Mus musculus,Schuler_2021,Skeletal_muscle_EDL,Skeletal_muscle_EDL,0.9046630087983384,1.1689395084579943,0.796848366244613,,14.809176016,15.120927874,G4_Weak_Signals
Schuler_2021_EDL,Skeletal muscle,EDL,14.065635422,14.065635422,13.933545926,13.933545926,F2,F2,100.0,exact_gene,ECM Regulators,Matrisome-associated,LFQ,3.0,3.0,P19221,,Mus musculus,Schuler_2021,Skeletal_muscle_EDL,Skeletal_muscle_EDL,0.4153542858685534,-0.0807338352363085,-0.2684981780319486,,13.933545926,14.065635422,G1_Universal
Tsumagari_2023,Brain,Cortex,23.292826621796152,,23.155023094975675,,Col4a1,Col4a1,100.0,1,Collagens,Core matrisome,TMT 6-plex LC-MS/MS,,,P02463,,Mus musculus,Tsumagari_2023,Brain_Cortex,Cortex,0.1526601264356244,0.2435781526947194,0.2380248075173665,,28.18870870126193,28.22759120014075,G4_Weak_Signals
Tsumagari_2023,Brain,Cortex,26.740808441592108,,26.371963853725575,,Angptl1,Angptl1,100.0,1,Secreted Factors,Matrisome-associated,TMT 6-plex LC-MS/MS,,,Q640P2,,Mus musculus,Tsumagari_2023,Brain_Cortex,Cortex,0.7954570614435345,0.6832697958625339,0.6507573874600033,,26.326989646108046,26.78624158640893,G4_Weak_Signals
Tsumagari_2023,Brain,Hippocampus,28.1264227001768,,27.50250274084435,,Col4a1,Col4a1,100.0,1,Collagens,Core matrisome,TMT 6-plex LC-MS/MS,,,P02463,,Mus musculus,Tsumagari_2023,Brain_Hippocampus,Hippocampus,1.4564390780526215,0.1031738013048035,-0.0582776770322922,,27.50250274084435,28.1264227001768,G4_Weak_Signals
Santinha_2024_Mouse_NT,Heart,Native_Tissue,16.49365466682501,,15.976425786518671,,Col4a1,Col4a1,100.0,1.0,Collagens,Core matrisome,TMT-10plex LC-MS/MS,,,P02463,Collagen alpha-1(IV) chain [Cleaved into: Arresten],Mus musculus,Santinha_2024_Mouse_NT,Heart_Native_Tissue,Native_Tissue,0.4036715839581716,-0.1152747046488132,-0.2156661635609543,,16.06770034115813,16.418667510926667,G4_Weak_Signals
Santinha_2024_Mouse_NT,Heart,Native_Tissue,14.528655881793174,,15.425348504376691,,Col14a1,Col14a1,100.0,1.0,Collagens,Core matrisome,TMT-10plex LC-MS/MS,,,Q80X19,Collagen alpha-1(XIV) chain,Mus musculus,Santinha_2024_Mouse_NT,Heart_Native_Tissue,Native_Tissue,-2.0998357223514805,-0.9840060231223956,-0.4588468337333512,,15.538814864499388,14.925022908102212,G1_Universal
Santinha_2024_Mouse_NT,Heart,Native_Tissue,15.886985384711837,,15.514128912030843,,F2,F2,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P19221,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],Mus musculus,Santinha_2024_Mouse_NT,Heart_Native_Tissue,Native_Tissue,0.1480439719720453,-0.3834848477502812,-0.4196696080861635,,15.970502937526271,16.20554952514253,G1_Universal
Santinha_2024_Mouse_DT,Heart,Decellularized_Tissue,16.361480877165384,,15.731980582288813,,Col4a1,Col4a1,100.0,1.0,Collagens,Core matrisome,TMT-10plex LC-MS/MS,,,P02463,Collagen alpha-1(IV) chain [Cleaved into: Arresten],Mus musculus,Santinha_2024_Mouse_DT,Heart_Decellularized_Tissue,Decellularized_Tissue,0.7956826385858287,-0.4383313604029334,-0.9311030689502072,,15.731980582288813,16.361480877165384,G4_Weak_Signals
