Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality,Abundance_Old_log2,Abundance_Young_log2
Tam_2020,Intervertebral_disc,NP,26.0013,,26.0862,,NELL1,NRP1,80.0,Level 3: Synonym,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,1.0,O14786,Neuropilin-1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0394847587780149,-0.8316656505737959,-0.792180891795781,Original,4.7549569635858235,4.759486102834932
Tam_2020,Intervertebral_disc,NP,,,25.8215,,PLXNB2,PLXNB2,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O15031,Plexin-B2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.8634899633490664,Original,,4.745318017515576
Tam_2020,Intervertebral_disc,NP,25.3606,,25.965233333333337,,SEMA3E,SEMA3E,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15041,Semaphorin-3E,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.2000811491153009,-1.0248499543560972,-0.8247688052407962,Original,4.720311303138229,4.753028612599601
Tam_2020,Intervertebral_disc,NP,25.610366666666668,,27.099100000000004,,LAMA5,LAMA5,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15230,Laminin subunit alpha-5,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4302302642069459,-0.9495401375806546,-0.5193098733737087,Original,4.7339164844108605,4.812452017279097
Tam_2020,Intervertebral_disc,NP,26.742266666666666,,31.6915,,MATN3,MATN3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15232,Matrilin-3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.3261123283171918,-0.6082488726342102,0.7178634556829816,Original,4.794013761970813,5.030843669389717
Tam_2020,Intervertebral_disc,NP,35.295633333333335,,37.46103333333333,,CHAD,CHAD,100.0,Level 1: Gene Symbol,Proteoglycans,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O15335,Chondroadherin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3013834596173412,1.970768115807724,2.272151575425065,Original,5.181724085331879,5.265325619001702
Tam_2020,Intervertebral_disc,NP,25.8652,,25.57675,,P4HA2,P4HA2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.0567219724500704,-0.8727026159940723,-0.9294245884441428,Original,4.747666673224004,4.732092786952197
Tam_2020,Intervertebral_disc,NP,25.0857,,,,CCL16,CCL16,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O15467,C-C motif chemokine 16,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.107737991049956,,Original,4.705187242954132,
Tam_2020,Intervertebral_disc,NP,25.2393,,,,ANGPTL7,ANGPTL7,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O43827,Angiopoietin-related protein 7,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.06142441361752,,Original,4.713657327800709,
Tam_2020,Intervertebral_disc,NP,30.880433333333333,,31.9629,,EDIL3,EDIL3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O43854,EGF-like repeat and discoidin I-like domain-containing protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.1514834980053007,0.6394939811743244,0.7909774791796251,Original,4.994599334115441,5.042771267978031
Tam_2020,Intervertebral_disc,NP,24.8588,,,,PLOD3,PLOD3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.1761530347961775,,Original,4.6925834220765905,
Tam_2020,Intervertebral_disc,NP,31.416833333333333,,31.522566666666663,,SRPX2,SRPX2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O60687,Sushi repeat-containing protein SRPX2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.1288761542629751,0.8012296773641585,0.6723535231011833,Original,5.018671261701191,5.023369213651824
Tam_2020,Intervertebral_disc,NP,25.1216,,,,KERA,KERA,100.0,Level 1: Gene Symbol,Proteoglycans,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,0.0,O60938,Keratocan,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-1.0969133984078692,,Original,4.707171362421385,
Tam_2020,Intervertebral_disc,NP,23.9619,,28.97243333333333,,SLIT3,SLIT3,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,3.0,O75094,Slit homolog 3 protein,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.4319452203699945,-1.446586938436487,-0.0146417180664923,Original,4.641655845443832,4.905564309717342
Tam_2020,Intervertebral_disc,NP,36.2164,,35.9438,,CILP,CILP,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O75339,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.3849830442353699,2.248398313163663,1.863415268928293,Original,5.217866602908378,5.207260362918514
Tam_2020,Intervertebral_disc,NP,28.3933,,26.095,,CRLF1,CRLF1,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,O75462,Cytokine receptor-like factor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.6793820399630347,-0.1104281686832612,-0.7898102086462959,Original,4.877415435039283,4.759954742011304
Tam_2020,Intervertebral_disc,NP,28.667,,34.289566666666666,,CLEC3A,CLEC3A,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O75596,C-type lectin domain family 3 member A,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-1.445673692940117,-0.0279019568130938,1.4177717361270232,Original,4.890787140210814,5.1411698097403535
Tam_2020,Intervertebral_disc,NP,29.0801,,25.90995,,FCN3,FCN3,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,2.0,O75636,Ficolin-3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.9363181424811092,0.0966562387424998,-0.8396619037386095,Original,4.91073745808856,4.75006780527041
Tam_2020,Intervertebral_disc,NP,26.43885,,,,CCN5,WISP2,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O76076,WNT1-inducible-signaling pathway protein 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.6997352742355006,,Original,4.778148112328696,
Tam_2020,Intervertebral_disc,NP,27.12933333333333,,28.5211,,ECM2,ECM2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O94769,Extracellular matrix protein 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.3553112375330097,-0.491540265614799,-0.1362290280817893,Original,4.814003455997453,4.88367457424564
Tam_2020,Intervertebral_disc,NP,25.5509,,25.454966666666667,,SEMA3D,SEMA3D,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O95025,Semaphorin-3D,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0052380592631307,-0.967470567732449,-0.9622325084693184,Original,4.730688860004554,4.7254666948339
Tam_2020,Intervertebral_disc,NP,26.6595,,26.0911,,CCN6,WISP3,95.0,Level 2: UniProt ID,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),1.0,2.0,O95389,WNT1-inducible-signaling pathway protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.1576561175354834,-0.6332047347793349,-0.7908608523148184,Original,4.789703172053994,4.759747068431948
Tam_2020,Intervertebral_disc,NP,27.439733333333333,,29.28823333333333,,MATN4,MATN4,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O95460,Matrilin-4,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.4683817240559772,-0.3979482445534192,0.0704334795025579,Original,4.82983603240161,4.9206855252632975
Tam_2020,Intervertebral_disc,NP,26.31635,,,,NTN1,NTN1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,O95631,Netrin-1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.7366715583206134,,Original,4.771692819046365,
Tam_2020,Intervertebral_disc,NP,,,26.827,,FSTL3,FSTL3,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O95633,Follistatin-related protein 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.5926124739390619,Original,,4.7984134764847495
Tam_2020,Intervertebral_disc,NP,,,26.7129,,CXCL14,CXCL14,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),0.0,1.0,O95715,C-X-C motif chemokine 14,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,,-0.6233505361386458,Original,,4.79248578357405
Tam_2020,Intervertebral_disc,NP,28.3856,,28.707733333333337,,EFEMP2,EFEMP2,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,O95967,EGF-containing fibulin-like extracellular matrix protein 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0267990883488353,-0.1127498779686111,-0.0859507896197757,Original,4.877037450698698,4.892766628249549
Tam_2020,Intervertebral_disc,NP,30.04426666666667,,26.278333333333336,,F13A1,F13A1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P00488,Coagulation factor XIII A chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.1277934102539335,0.3873724338885942,-0.7404209763653393,Original,4.956254947380881,4.769683595364228
Tam_2020,Intervertebral_disc,NP,31.50356666666667,,23.68565,,F2,F2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00734,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.2662605809177805,0.8273815715653748,-1.4388790093524055,Original,5.022526130874121,4.625600728195274
Tam_2020,Intervertebral_disc,NP,28.57455,,,,F9,F9,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,P00740,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.0557775442716147,,Original,4.886284311881589,
Tam_2020,Intervertebral_disc,NP,28.4878,,,,F10,F10,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,P00742,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.0819344638176025,,Original,4.882046285971791,
Tam_2020,Intervertebral_disc,NP,33.201933333333336,,24.44375,,PLG,PLG,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00747,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.5741242986134667,1.3394742546730198,-1.2346500439404466,Original,5.096005973553448,4.669239411252648
Tam_2020,Intervertebral_disc,NP,29.583233333333336,,25.73365,,F12,F12,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,2.0,P00748,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.135517732236518,0.2483613467644584,-0.8871563854720595,Original,4.9346690348553555,4.740584920025597
Tam_2020,Intervertebral_disc,NP,33.965333333333334,,23.6706,,SERPINC1,SERPINC1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,P01008,Antithrombin-III,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,3.0125885630073665,1.5696551466777156,-1.442933416329651,Original,5.127853353716215,4.624720897939195
Tam_2020,Intervertebral_disc,NP,36.69133333333334,,34.5644,,SERPINA1,SERPINA1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01009,Alpha-1-antitrypsin;Short peptide from AAT,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.8997898525825043,2.391600537828887,1.4918106852463828,Original,5.236160926221918,5.152361919209366
Tam_2020,Intervertebral_disc,NP,34.48693333333333,,32.37370000000001,,SERPINA3,SERPINA3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01011,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.8252830577780692,1.726928336708695,0.9016452789306256,Original,5.149216001606538,5.060639735730078
Tam_2020,Intervertebral_disc,NP,31.169633333333337,,29.114066666666663,,AGT,AGT,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01019,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.7031800548481846,0.7266937636838335,0.0235137088356489,Original,5.00762758725985,4.9123656406673835
Tam_2020,Intervertebral_disc,NP,36.5472,,33.15006666666667,,A2M,A2M,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01023,Alpha-2-macroglobulin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,1.237346148377939,2.348141356227788,1.1107952078498486,Original,5.230633420823158,5.093816489788541
Tam_2020,Intervertebral_disc,NP,32.005500000000005,,31.53463333333333,,TIMP1,TIMP1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01033,Metalloproteinase inhibitor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.30312062219233,0.9787248547636423,0.6756042325713123,Original,5.04463454849673,5.023904389477396
Tam_2020,Intervertebral_disc,NP,29.2903,,29.976633333333336,,CST3,CST3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01034,Cystatin-C,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.09584966976165,0.1600358870256888,0.2558855567873389,Original,4.920783961774988,4.953108449562357
Tam_2020,Intervertebral_disc,NP,32.86723333333333,,25.2824,,KNG1,KNG1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,1.0,P01042,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.247276526768217,1.238555280931897,-1.00872124583632,Original,5.081818230544071,4.716025117503625
Tam_2020,Intervertebral_disc,NP,27.19526666666667,,26.89613333333333,,TGFB1,TGFB1,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01137,Transforming growth factor beta-1;Latency-associated peptide,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.1023282417480411,-0.4716600016908931,-0.5739882434389343,Original,4.817381082699731,4.80199325968671
Tam_2020,Intervertebral_disc,NP,26.3296,,26.4244,,IGF2,IGF2,100.0,Level 1: Gene Symbol,Secreted Factors,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,1.0,P01344,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0316051811976522,-0.7326764092256932,-0.701071228028041,Original,4.772392439408583,4.7773881521067665
Tam_2020,Intervertebral_disc,NP,30.997,,30.724766666666664,,COL1A1,COL1A1,100.0,Level 1: Gene Symbol,Collagens,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02452,Collagen alpha-1(I) chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.2172116985847824,0.6746412425200772,0.4574295439352948,Original,4.999864740999552,4.987537648076492
Tam_2020,Intervertebral_disc,NP,33.6944,,37.790333333333336,,COL2A1,COL2A1,100.0,Level 1: Gene Symbol,Collagens,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02458,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.8729004744221291,1.4879631420399475,2.3608636164620767,Original,5.116630912036307,5.277625268185939
Tam_2020,Intervertebral_disc,NP,28.780166666666663,,32.29656666666667,,COL3A1,COL3A1,100.0,Level 1: Gene Symbol,Collagens,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02461,Collagen alpha-1(III) chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.8746457477320987,0.0062201341988661,0.8808658819309648,Original,4.896279922967906,5.057301518179721
Tam_2020,Intervertebral_disc,NP,33.96096666666667,,24.067966666666663,,FGA,FGA,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02671,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.904223006672848,1.5683385063470638,-1.3358845003257844,Original,5.127673170627638,4.647773074749495
Tam_2020,Intervertebral_disc,NP,34.63126666666667,,25.945400000000003,,FGB,FGB,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02675,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.600559644634628,1.7704478224470737,-0.8301118221875544,Original,5.155071866072199,4.751967098342913
Tam_2020,Intervertebral_disc,NP,35.119566666666664,,25.41626666666667,,FGG,FGG,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02679,Fibrinogen gamma chain,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,2.890338500031436,1.9176803736206287,-0.972658126410807,Original,5.174708679522269,4.723354684028266
Tam_2020,Intervertebral_disc,NP,28.15075,,,,C1QA,C1QA,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,P02745,Complement C1q subcomponent subunit A,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.1835620111717855,,Original,4.865461096919009,
Tam_2020,Intervertebral_disc,NP,28.20375,,25.7001,,C1QB,C1QB,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,1.0,P02746,Complement C1q subcomponent subunit B,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.7286132001873702,-0.1675814147921037,-0.896194614979474,Original,4.8680817297131185,4.738773240142286
Tam_2020,Intervertebral_disc,NP,27.8803,,,,C1QC,C1QC,100.0,Level 1: Gene Symbol,ECM-affiliated Proteins,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),2.0,0.0,P02747,Complement C1q subcomponent subunit C,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,-0.2651082808111231,,Original,4.852013823478939,
Tam_2020,Intervertebral_disc,NP,29.589866666666666,,,,LRG1,LRG1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,0.0,P02750,Leucine-rich alpha-2-glycoprotein,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,,0.2503614339843043,,Original,4.934981913461869,
Tam_2020,Intervertebral_disc,NP,40.56423333333333,,39.18513333333333,,FN1,FN1,100.0,Level 1: Gene Symbol,ECM Glycoproteins,Core matrisome,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P02751,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.8227431085670509,3.5593600042226363,2.7366168956555854,Original,5.377270695664012,5.328589963625184
