Human_Gene,Mouse_Gene,Match_Type,In_Both_Datasets
FGL1,,no_match,False
FGL2,Fgl2,case_insensitive,True
FLG,,no_match,False
FLG2,FLG2,exact,True
FMOD,FMOD,exact,True
FN1,FN1,exact,True
FNDC1,,no_match,False
FRAS1,FRAS1,exact,True
FREM1,FREM1,exact,True
FREM2,FREM2,exact,True
FRZB,,no_match,False
FSTL1,FSTL1,exact,True
FSTL3,,no_match,False
GAS6,GAS6,exact,True
GDF10,,no_match,False
GDF15,,no_match,False
GDF5,,no_match,False
GDF6,,no_match,False
GLDN,,no_match,False
GPC1,GPC1,exact,True
GPC4,GPC4,exact,True
GPC6,Gpc6,case_insensitive,True
GREM1,,no_match,False
HABP2,Habp2,case_insensitive,True
HAPLN1,HAPLN1,exact,True
HAPLN3,,no_match,False
HCFC1,HCFC1,exact,True
HGF,,no_match,False
HGFAC,Hgfac,case_insensitive,True
HHIP,,no_match,False
HMCN1,HMCN1,exact,True
HMCN2,Hmcn2,case_insensitive,True
HPX,HPX,exact,True
HRG,HRG,exact,True
HRNR,,no_match,False
HSPG2,HSPG2,exact,True
HTRA1,HTRA1,exact,True
HTRA3,,no_match,False
HTRA4,HTRA4,exact,True
HYAL1,,no_match,False
IBSP,,no_match,False
IGF2,,no_match,False
IGFALS,Igfals,case_insensitive,True
IGFBP2,IGFBP2,exact,True
IGFBP3,,no_match,False
IGFBP4,Igfbp4,case_insensitive,True
IGFBP5,IGFBP5,exact,True
IGFBP6,IGFBP6,exact,True
IGFBP7,IGFBP7,exact,True
IHH,,no_match,False
IL11,,no_match,False
IL17B,,no_match,False
IL17D,,no_match,False
INHBA,,no_match,False
INHBC,,no_match,False
INHBE,INHBE,exact,True
ISM1,,no_match,False
ISM2,,no_match,False
ITIH1,ITIH1,exact,True
ITIH2,ITIH2,exact,True
ITIH3,ITIH3,exact,True
ITIH4,ITIH4,exact,True
ITIH5,ITIH5,exact,True
ITIH6,,no_match,False
KAL1,,no_match,False
KCP,Kcp,case_insensitive,True
KERA,Kera,case_insensitive,True
KNG1,KNG1,exact,True
LAMA1,LAMA1,exact,True
LAMA2,LAMA2,exact,True
LAMA3,LAMA3,exact,True
LAMA4,LAMA4,exact,True
LAMA5,LAMA5,exact,True
LAMB1,LAMB1,exact,True
LAMB2,LAMB2,exact,True
LAMB3,LAMB3,exact,True
LAMB4,,no_match,False
LAMC1,LAMC1,exact,True
LAMC2,LAMC2,exact,True
LAMC3,LAMC3,exact,True
LEFTY2;LEFTY1,,no_match,False
LEP,,no_match,False
LEPRE1,,no_match,False
LEPREL2,,no_match,False
LGALS1,LGALS1,exact,True
LGALS2,,no_match,False
LGALS3,LGALS3,exact,True
LGALS7,,no_match,False
LGALS8,LGALS8,exact,True
LGI4,,no_match,False
LMAN1,LMAN1,exact,True
LOX,LOX,exact,True
LOXL1,LOXL1,exact,True
LOXL2,LOXL2,exact,True
LOXL3,LOXL3,exact,True
LOXL4,,no_match,False
LPA,,no_match,False
LRG1,LRG1,exact,True
LTBP1,LTBP1,exact,True
LTBP2,LTBP2,exact,True
LTBP3,LTBP3,exact,True
LTBP4,LTBP4,exact,True
LUM,LUM,exact,True
MASP1,Masp1,case_insensitive,True
MASP2,MASP2,exact,True
MATN1,,no_match,False
MATN2,MATN2,exact,True
MATN3,,no_match,False
MATN4,MATN4,exact,True
MBL2,MBL2,exact,True
MDK,MDK,exact,True
MEGF6,Megf6,case_insensitive,True
MFAP1,MFAP1,exact,True
MFAP2,MFAP2,exact,True
MFAP4,MFAP4,exact,True
MFAP5,MFAP5,exact,True
MFGE8,MFGE8,exact,True
MGP,MGP,exact,True
MIF,,no_match,False
MME,,no_match,False
MMP1,,no_match,False
MMP12,,no_match,False
MMP13,,no_match,False
MMP14,,no_match,False
MMP19,MMP19,exact,True
MMP2,MMP2,exact,True
MMP3,,no_match,False
MMP9,MMP9,exact,True
MMRN1,MMRN1,exact,True
MMRN2,MMRN2,exact,True
MPI,,no_match,False
MST1;MST1L,,no_match,False
MUC1,MUC1,exact,True
MXRA5,,no_match,False
NDNF,NDNF,exact,True
NGF,,no_match,False
NGLY1,NGLY1,exact,True
NID1,NID1,exact,True
NID2,NID2,exact,True
NOV,,no_match,False
NPNT,NPNT,exact,True
NRP1,,no_match,False
NRP2,,no_match,False
NTN1,NTN1,exact,True
NTN3,,no_match,False
NTN4,NTN4,exact,True
OGN,OGN,exact,True
OMD,,no_match,False
P3H1,P3H1,exact,True
P4HA1,P4HA1,exact,True
P4HA2,,no_match,False
PAMR1,,no_match,False
PAPLN,PAPLN,exact,True
PAPPA,,no_match,False
PCOLCE,PCOLCE,exact,True
PCOLCE2,PCOLCE2,exact,True
PCSK5,,no_match,False
PCSK6,,no_match,False
PDF,,no_match,False
PDGFC,,no_match,False
PDGFD,PDGFD,exact,True
PF4;PF4V1,,no_match,False
PLAT,PLAT,exact,True
PLG,PLG,exact,True
PLOD1,PLOD1,exact,True
PLOD2,PLOD2,exact,True
PLOD3,PLOD3,exact,True
PLXDC2,PLXDC2,exact,True
PLXNA1,PLXNA1,exact,True
PLXNB1,PLXNB1,exact,True
PLXNB2,PLXNB2,exact,True
PLXND1,Plxnd1,case_insensitive,True
PODN,PODN,exact,True
PODNL1,,no_match,False
POSTN,POSTN,exact,True
PPBP,PPBP,exact,True
PRELP,PRELP,exact,True
PRG2,PRG2,exact,True
PRG3,,no_match,False
PRG4,,no_match,False
PRSS2,,no_match,False
PRSS3P2;PRSS2;PRSS1,,no_match,False
PTN,Ptn,case_insensitive,True
PXDN,PXDN,exact,True
PXDNL,,no_match,False
PXN,,no_match,False
PZP,Pzp,case_insensitive,True
REG1A;REG1B,,no_match,False
REG3A,,no_match,False
REG4,,no_match,False
S100A1,S100a1,case_insensitive,True
S100A10,S100A10,exact,True
S100A11,S100A11,exact,True
S100A12,,no_match,False
S100A13,S100A13,exact,True
S100A14,,no_match,False
S100A16,S100A16,exact,True
S100A2,,no_match,False
S100A3,,no_match,False
S100A4,S100A4,exact,True
S100A6,S100A6,exact,True
S100A7,,no_match,False
S100A7A,,no_match,False
S100A7L2,,no_match,False
S100A8,S100A8,exact,True
S100A9,S100A9,exact,True
S100B,S100B,exact,True
S100P,,no_match,False
SBSPON,,no_match,False
SCUBE1,,no_match,False
SCUBE3,,no_match,False
SCYL1,,no_match,False
SDC1,SDC1,exact,True
SDC2,Sdc2,case_insensitive,True
SEMA3A,SEMA3A,exact,True
SEMA3B,Sema3b,case_insensitive,True
SEMA3C,SEMA3C,exact,True
SEMA3D,,no_match,False
SEMA3E,SEMA3E,exact,True
SEMA3G,SEMA3G,exact,True
SERPINA1,,no_match,False
SERPINA10,Serpina10,case_insensitive,True
SERPINA12,,no_match,False
SERPINA3,,no_match,False
SERPINA4,,no_match,False
SERPINA5,,no_match,False
SERPINA6,SERPINA6,exact,True
SERPINA7,,no_match,False
SERPINB1,,no_match,False
SERPINB12,,no_match,False
SERPINB2,,no_match,False
SERPINB3,,no_match,False
SERPINB4,,no_match,False
SERPINB5,Serpinb5,case_insensitive,True
SERPINB6,SERPINB6,exact,True
SERPINB7,,no_match,False
SERPINB8,SERPINB8,exact,True
SERPINB9,SERPINB9,exact,True
SERPINC1,SERPINC1,exact,True
SERPIND1,SERPIND1,exact,True
SERPINE1,,no_match,False
SERPINE2,SERPINE2,exact,True
SERPINF1,SERPINF1,exact,True
SERPINF2,SERPINF2,exact,True
SERPING1,SERPING1,exact,True
SERPINH1,SERPINH1,exact,True
SERPINI2,,no_match,False
SFRP1,SFRP1,exact,True
SFRP2,,no_match,False
SFRP4,SFRP4,exact,True
SFTPB,SFTPB,exact,True
SLIT2,Slit2,case_insensitive,True
SLIT3,SLIT3,exact,True
SLPI,,no_match,False
SMAP,,no_match,False
SMAP2,,no_match,False
SMOC1,,no_match,False
SMOC2,Smoc2,case_insensitive,True
SNED1,,no_match,False
SPARC,SPARC,exact,True
SPARCL1,SPARCL1,exact,True
SPON1,SPON1,exact,True
SPON2,,no_match,False
SPP1,,no_match,False
SRPX,SRPX,exact,True
SRPX2,SRPX2,exact,True
SULF1,,no_match,False
SULF2,Sulf2,case_insensitive,True
SVEP1,SVEP1,exact,True
TCHH,,no_match,False
TGFB1,TGFB1,exact,True
TGFBI,TGFBI,exact,True
TGM1,TGM1,exact,True
TGM2,TGM2,exact,True
TGM3,,no_match,False
TGM5,,no_match,False
THBS1,THBS1,exact,True
THBS2,Thbs2,case_insensitive,True
THBS3,THBS3,exact,True
THBS4,THBS4,exact,True
THSD4,,no_match,False
TIMP1,,no_match,False
TIMP2,Timp2,case_insensitive,True
TIMP3,TIMP3,exact,True
TINAG,TINAG,exact,True
TINAGL1,TINAGL1,exact,True
TNC,TNC,exact,True
TNFAIP6,,no_match,False
TNFSF10,TNFSF10,exact,True
TNFSF13,,no_match,False
TNN,,no_match,False
TNXB,TNXB,exact,True
TSKU,,no_match,False
TSPEAR,,no_match,False
VCAN,VCAN,exact,True
VEGFA,,no_match,False
VEGFB,,no_match,False
VIT,,no_match,False
VTN,VTN,exact,True
VWA1,VWA1,exact,True
VWA2,,no_match,False
VWA5A,VWA5A,exact,True
VWF,VWF,exact,True
WFIKKN2,,no_match,False
WIF1,,no_match,False
WISP2,,no_match,False
WISP3,,no_match,False
WNT11,,no_match,False
ZP4,,no_match,False
