Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
SLIT3,Slit homolog 3 protein,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.5620795055121339,0.6394948829274056,-0.4856017782545424,0.7194541000003284,2,0.5,-1.5625166511995063,0.2161021849348098,0.5163172865998962,2
SEMA3D,Semaphorin-3D,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0835970652270851,0.0870891047358389,0.0964075413372262,0.0831731170591635,0,0.0,1.7408793785372303,0.2238312483977076,0.4168838372646306,1
WISP3,WNT1-inducible-signaling pathway protein 3,ECM Glycoproteins,Core matrisome,2,2,0.5,DOWN,1,1,-0.0520660137721802,0.2097221313076636,-0.0520660137721802,0.2965918824250889,0,0.0,,,0.2062663307778252,0
MATN4,Matrilin-4,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.1963702327045801,0.2493218393782297,-0.2115012100548212,0.2703782269165927,0,0.0,-1.452559512235851,0.2422850508730151,0.4720634090573375,2
EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,0.0309692496856101,0.0754697675276287,-0.0250680383237995,0.1214550273928739,0,0.0,0.5099706508719988,0.6452219573895821,0.3740908205689641,2
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",ECM Regulators,Matrisome-associated,10,10,0.5,DOWN,5,5,0.6738969372783365,0.8255683529628411,0.0332770370259839,1.1974618475256902,3,0.3,1.7796385199366078,0.1088383142014347,0.5872597606912913,0
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,8,10,0.6,UP,6,4,0.3900365751958458,0.4660553590292752,0.3435952554633599,0.5150919468443278,5,0.5,2.3945316092529967,0.0402571997324805,0.5597305665446668,2
AGT,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.1892458821402877,0.5877549283277896,0.0945860398709308,0.9496421422976392,3,0.375,-0.5636525196712946,0.5905820630198442,0.4318355508170454,0
TIMP1,Metalloproteinase inhibitor 1,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.1100141658370408,0.3008649768849304,0.30312062219233,0.3197659418707537,0,0.0,0.7693100517846545,0.4846193613427522,0.4013979195375897,1
CST3,Cystatin-C,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,0.0737537586253565,0.1672459563930719,-0.0100040909286664,0.2014873086716095,0,0.0,1.0353363337039576,0.3349485208002319,0.440911362067496,0
TGFB1,Transforming growth factor beta-1;Latency-associated peptide,Secreted Factors,Matrisome-associated,4,4,0.75,UP,3,1,0.0619149628933306,0.0891355145014334,0.0764533903877694,0.0874035514690063,0,0.0,1.4167608032560537,0.2515423704685166,0.4541933126505576,2
COL1A1,Collagen alpha-1(I) chain,Collagens,Core matrisome,10,10,0.6,UP,6,4,-0.0441649887012135,0.2651819869354644,0.1243111008304525,0.3489593599247935,2,0.2,-0.4002241325796104,0.6983248269063533,0.4433238215475699,2
COL2A1,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Collagens,Core matrisome,7,7,0.5714285714285714,UP,4,3,0.1061132668067344,0.5511733346233784,0.0614611873352572,0.7330243244403757,2,0.2857142857142857,0.3830013621848104,0.714920457924235,0.4070912250707681,1
FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,ECM Glycoproteins,Core matrisome,10,12,0.5,DOWN,6,6,0.1364727682078841,0.3777433302476126,0.0002482754024294,0.4848581042108055,4,0.3333333333333333,0.975038949881527,0.3504959119988658,0.4941457388602822,0
SLPI,Antileukoproteinase,ECM Regulators,Matrisome-associated,6,6,0.5,DOWN,3,3,0.0574299801189596,0.4044259030133484,0.0427303296289328,0.523271474483074,1,0.1666666666666666,0.2688358798243335,0.798796123765331,0.3365657184894451,0
SERPINE1,Plasminogen activator inhibitor 1,ECM Regulators,Matrisome-associated,4,4,0.5,DOWN,2,2,0.082487569071835,0.2912621479329408,0.0669381391741421,0.4210701093193686,1,0.25,0.3917996896296942,0.7213794846219302,0.3054385531630257,0
CLEC3B,Tetranectin,ECM-affiliated Proteins,Matrisome-associated,5,5,0.6,UP,3,2,0.0272719928883743,0.3325466855200863,0.0016763413513338,0.422984350510916,1,0.2,0.1441708893169137,0.8923375154888133,0.3230224595718931,1
S100A9,Protein S100-A9,Secreted Factors,Matrisome-associated,10,10,0.6,UP,6,4,0.2239860681215156,0.4071070412676897,0.2161125970668396,0.4435582989056633,4,0.4,1.596872702319262,0.1447585169365037,0.5682295889747624,2
S100A6,Protein S100-A6,Secreted Factors,Matrisome-associated,6,6,0.6666666666666666,UP,4,2,0.0375331886952646,0.1474476974445374,0.0669050168944973,0.1840244393291386,0,0.0,0.499592125144646,0.6385664022559705,0.3929138422344361,2
ANXA2;ANXA2P2,Annexin A2;Putative annexin A2-like protein,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.253470781787074,0.3171527265215269,-0.3182372869541592,0.3215403549373753,1,0.3333333333333333,-1.365378452651527,0.3054236853548284,0.4235717120517752,1
DCN,Decorin,Proteoglycans,Core matrisome,10,10,0.6,UP,6,4,0.0186294374682447,0.2582169207668651,0.0783195075198708,0.313938612217254,1,0.1,0.1876527818966273,0.8553113634096566,0.4112300076300492,2
CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,ECM Regulators,Matrisome-associated,9,9,0.5555555555555556,DOWN,4,5,0.1435097671118264,0.3145532802101764,-0.0290912286613251,0.4018572411649842,2,0.2222222222222222,1.071348870278845,0.3152660626676399,0.4938923115659209,1
THBS1,Thrombospondin-1,ECM Glycoproteins,Core matrisome,7,7,0.5714285714285714,DOWN,3,4,-0.1209513487768365,0.3129362108550315,-0.0466852714828034,0.3809662767558938,1,0.1428571428571428,-0.8399882328860101,0.4331046844434024,0.4396306673900999,1
MMP2,72 kDa type IV collagenase;PEX,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.436261963271017,0.6717281465443553,0.6075158494174555,0.7501062748871885,3,0.6,1.3004975941818666,0.2632970061014283,0.4827487075517969,1
SERPINF2,Alpha-2-antiplasmin,ECM Regulators,Matrisome-associated,10,10,0.6,UP,6,4,0.521004156470529,0.6283144136521013,0.1971549088601702,0.787460544615956,4,0.4,2.09224426052373,0.0659428600764335,0.6061134575852175,2
LGALS1,Galectin-1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.5,DOWN,5,5,-0.0559083525359721,0.4311183227549121,0.0180107721561027,0.5822243820451228,4,0.4,-0.3036591041074279,0.7682904446307797,0.4159243315846294,0
HAPLN1,Hyaluronan and proteoglycan link protein 1,Proteoglycans,Core matrisome,5,5,0.6,DOWN,2,3,-0.0123407683569022,0.2904638454722166,-0.1281761240055716,0.416876519054626,1,0.2,-0.0661941742441866,0.9503996361498476,0.3072017514348992,1
BMP1,Bone morphogenetic protein 1,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,-0.2418152052104722,0.2434033965262603,-0.2418152052104722,0.3442243844951136,0,0.0,,,0.2096344572996848,0
NID1,Nidogen-1,ECM Glycoproteins,Core matrisome,10,10,0.5,DOWN,5,5,-0.1104290606170093,0.2000382640531593,-0.0299879051610444,0.2899229371042425,1,0.1,-1.204483353095274,0.2591208770677285,0.4946502392270644,0
TIMP2,Metalloproteinase inhibitor 2,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.0441839149609724,0.0777658177065171,-0.0824415603284977,0.0823839223953738,0,0.0,-0.9289286472964088,0.4509920574026232,0.3705193467607153,1
ACAN,Aggrecan core protein;Aggrecan core protein 2,Proteoglycans,Core matrisome,5,5,0.6,UP,3,2,0.041743985528788,0.1065232684153354,0.0681423338839402,0.1233435305481458,0,0.0,0.7567676138287803,0.4913166815096752,0.3806242846572455,1
LGALS3,Galectin-3,ECM-affiliated Proteins,Matrisome-associated,10,10,0.6,DOWN,4,6,-0.1779895227943936,0.4057232854677137,-0.0964836969728122,0.5443299047881727,4,0.4,-1.0340278693594411,0.3281073940026857,0.5314214379815283,2
PTN,Pleiotrophin,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1705935744517522,0.3694134008373315,-0.1443373224528046,0.4824875476355575,1,0.3333333333333333,-0.6124028274785746,0.6026236860923043,0.3693577793358605,1
BGN,Biglycan,Proteoglycans,Core matrisome,10,11,0.5454545454545454,DOWN,5,6,0.0661844688257841,0.1651034663540924,-0.0024775106625811,0.2806252478424249,1,0.0909090909090909,0.7822141868266871,0.4522126767275807,0.4661747631615508,1
FBLN1,Fibulin-1,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,0.031476290506239,0.2274787755982344,-0.1152935877260124,0.2694426512623576,1,0.0909090909090909,0.3874481078341628,0.7065430062213072,0.4038991693636903,1
S100A1,Protein S100-A1,Secreted Factors,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.1940873824627725,0.2412572439532571,-0.2550139538475461,0.2090306857926465,0,0.0,-1.8570228741946784,0.1603028033941915,0.487653399010605,2
TNC,Tenascin,ECM Glycoproteins,Core matrisome,9,10,0.6,DOWN,4,6,-0.1542580040757731,0.2662055230364394,-0.0836305260789128,0.3410931081666324,2,0.2,-1.4301275180050677,0.186465008921272,0.5281510799311543,2
S100A4,Protein S100-A4,Secreted Factors,Matrisome-associated,6,6,0.6666666666666666,DOWN,2,4,-0.051935761482839,0.1398374483127567,-0.0328949047197365,0.1818800560620831,0,0.0,-0.6994506038222457,0.5154641102203126,0.4167732757283896,2
CTGF,Connective tissue growth factor,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.0330565394438243,0.0971278393777611,-0.0911816994596022,0.1120450477272745,0,0.0,-0.5110052340597203,0.6601690472899557,0.3306201509503732,1
SERPINB1,Leukocyte elastase inhibitor,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.0225168020251688,0.3266128601146387,-0.0177992558614665,0.3819543876989726,1,0.125,-0.1667401544833692,0.8722888001456822,0.3493799965705627,0
THBS2,Thrombospondin-2,ECM Glycoproteins,Core matrisome,4,4,0.75,UP,3,1,-0.029164118660176,0.2161012530488996,0.0737286411516461,0.3159724844209532,0,0.0,-0.1845991033910551,0.8653174513585866,0.3441348703272902,2
FBN1,Fibrillin-1,ECM Glycoproteins,Core matrisome,10,12,0.5833333333333334,DOWN,5,7,-0.0951929925677678,0.3022218224647259,-0.159490331675767,0.357335578140499,3,0.25,-0.9228249843460724,0.3758965039331274,0.5065134696951412,2
IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,ECM Glycoproteins,Core matrisome,6,6,0.6666666666666666,UP,4,2,0.6169740643275367,0.7520053270570782,0.6402283432315932,0.7951809928708239,3,0.5,1.900537934989417,0.1157833502203762,0.5579262156028091,2
SERPINF1,Pigment epithelium-derived factor,ECM Regulators,Matrisome-associated,9,11,0.5454545454545454,DOWN,5,6,0.2675788785715463,0.59167238720229,-0.0010681515123002,0.8516776957128086,5,0.4545454545454545,1.04201242619502,0.321942450092659,0.5172386417498255,1
COL18A1,Collagen alpha-1(XVIII) chain;Endostatin,Collagens,Core matrisome,10,14,0.5714285714285714,UP,8,6,0.1353354911992749,0.4411409671162168,0.1053962799545389,0.6965917643390263,3,0.2142857142857142,0.726938023476252,0.4801503978237681,0.4959831768107336,2
GDF5,Growth/differentiation factor 5,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.1518947261098848,0.1541719710731956,0.0030626187607311,0.2634152227582272,0,0.0,0.998763018588159,0.4231261397309955,0.3837331456317087,1
CXCL12,Stromal cell-derived factor 1;SDF-1-beta(3-72);SDF-1-alpha(3-67),Secreted Factors,Matrisome-associated,8,8,0.625,UP,5,3,0.4329792386839988,0.6786329353667202,0.3432896281111265,0.8459624141027665,3,0.375,1.447641411403188,0.1909769167580083,0.5583443807733057,2
ANXA11,Annexin A11,ECM-affiliated Proteins,Matrisome-associated,10,10,0.6,DOWN,4,6,-0.171797866026779,0.2378146270376775,-0.0494338957247462,0.3387113010342562,1,0.1,-1.6039398512603469,0.1431905912285574,0.5516139326933504,2
LUM,Lumican,Proteoglycans,Core matrisome,10,10,0.5,DOWN,5,5,-0.0806051469233048,0.3166689519284133,0.0627679114992521,0.4306557107365769,2,0.2,-0.591878498427881,0.5685000090547995,0.4444374816171755,0
LAMB2,Laminin subunit beta-2,ECM Glycoproteins,Core matrisome,11,11,0.5454545454545454,DOWN,5,6,-0.2335506270130718,0.2749069109031718,-0.0479378962758483,0.357801064927459,2,0.1818181818181818,-2.1648895860934476,0.0556482138689461,0.5741150590117151,1
CCL18,C-C motif chemokine 18;CCL18(1-68);CCL18(3-69);CCL18(4-69),Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.1434304125154229,0.3450283589683889,-0.3336787836235776,0.3874771336424051,0,0.0,-0.6411443160321958,0.5870939522183936,0.3700252219237484,1
S100A10,Protein S100-A10,Secreted Factors,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.0227420391286973,0.4515514404448387,0.0259324160357449,0.546607582523637,4,0.5,-0.1176789389687348,0.9096275329084336,0.3544061080510324,0
FBLN2,Fibulin-2,ECM Glycoproteins,Core matrisome,6,6,0.5,DOWN,3,3,-0.2069330195533188,0.3855075848239657,-0.1521743540307537,0.4844403010559909,1,0.1666666666666666,-1.046321513164985,0.3433344574606473,0.4257662199314436,0
COL7A1,Collagen alpha-1(VII) chain,Collagens,Core matrisome,7,7,0.5714285714285714,UP,4,3,-0.0002687307775185,0.4215406791682205,0.0671316555441776,0.5827074347821717,3,0.4285714285714285,-0.0012201574315059,0.9990660117975468,0.33729884875059,1
PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",ECM Regulators,Matrisome-associated,7,7,0.5714285714285714,UP,4,3,0.1664014444868694,0.3125715301302709,0.06199941416967,0.4526101783297683,1,0.1428571428571428,0.972706450258855,0.3682650142037337,0.4525621333655576,1
FMOD,Fibromodulin,Proteoglycans,Core matrisome,6,6,0.6666666666666666,DOWN,2,4,-0.3198289781519718,0.3631109815474354,-0.2786408329979512,0.4055122980089846,3,0.5,-1.9319211902439584,0.1112161175019553,0.5199502275955289,2
COL16A1,Collagen alpha-1(XVI) chain,Collagens,Core matrisome,7,7,0.5714285714285714,DOWN,3,4,-0.134225734777413,0.1571391741939637,-0.0258603024897802,0.2290955142343885,0,0.0,-1.5501303679067928,0.1720875124894392,0.4762543981147858,1
DPT,Dermatopontin,ECM Glycoproteins,Core matrisome,10,10,0.5,DOWN,5,5,0.0062002336984791,0.1683734335186437,0.0162987374540369,0.2477404172069113,1,0.1,0.0791427605296567,0.9386508458571176,0.3555777624157349,0
MFGE8,Lactadherin;Lactadherin short form;Medin,ECM Glycoproteins,Core matrisome,9,9,0.5555555555555556,DOWN,4,5,0.043157739832895,0.2007148551636531,-0.0047788523395169,0.2643216613376485,1,0.1111111111111111,0.4898320434407911,0.6374019542510385,0.4180812907445889,1
SEMA3B,Semaphorin-3B,ECM-affiliated Proteins,Matrisome-associated,5,5,0.6,DOWN,2,3,-0.0367730784646281,0.3327057214759888,-0.0719724838215491,0.439795996670321,1,0.2,-0.186966465841846,0.860787067819777,0.3293484527012905,1
SEMA3A,Semaphorin-3A,ECM-affiliated Proteins,Matrisome-associated,4,4,0.75,UP,3,1,0.4940292922118665,0.6709072270279424,0.6106452949344405,0.6181885811449701,3,0.75,1.5983125773590203,0.2082662466237116,0.5210257086721696,2
ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,ECM Regulators,Matrisome-associated,10,12,0.5,DOWN,6,6,0.5043345810014913,0.7649616135672485,0.0858306512104171,1.073478524788284,6,0.5,1.6274813107804396,0.1319130473309397,0.576584140125831,0
LTBP2,Latent-transforming growth factor beta-binding protein 2,ECM Glycoproteins,Core matrisome,5,5,0.6,UP,3,2,-0.0302341608772957,0.2095870201958549,0.1196311053006875,0.314565087868525,1,0.2,-0.2149178073841248,0.840344158485411,0.3211251644401504,1
POSTN,Periostin,ECM Glycoproteins,Core matrisome,10,11,0.5454545454545454,UP,6,5,0.2463793629869518,0.5281711792792916,0.1762645196462397,0.7357707527796206,4,0.3636363636363636,1.110601230107946,0.2927302173788598,0.5343780263238149,1
PCOLCE,Procollagen C-endopeptidase enhancer 1,ECM Glycoproteins,Core matrisome,6,6,0.6666666666666666,DOWN,2,4,-0.2084810703427766,0.2764667223672625,-0.1393516044684556,0.3917413984549414,1,0.1666666666666666,-1.303595293689206,0.2491634794819399,0.4836963292815147,2
LEPRE1,Prolyl 3-hydroxylase 1,ECM Regulators,Matrisome-associated,4,4,0.75,DOWN,1,3,-0.6599620857774359,0.6766704003018914,-0.4902256975018528,0.7314889716761405,1,0.25,-1.8044348208427332,0.1689283263486958,0.5294696100545676,2
FBLN7,Fibulin-7,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,UP,2,1,-0.0085086125560352,0.1991744423831368,0.0631237879908825,0.2743066121501581,0,0.0,-0.0537258257591841,0.962037488762719,0.2804511229563581,1
GDF6,Growth/differentiation factor 6,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,-0.0474983028077167,0.1486879510293539,-0.0288536209075088,0.2092290911451074,0,0.0,-0.3932028442411968,0.7321248244961756,0.3213850066742885,1
CHADL,Chondroadherin-like protein,Proteoglycans,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.130614334346791,0.2185142113661443,-0.1296479454411352,0.2629486762091166,0,0.0,-0.860360533268154,0.4802580822008714,0.3787409811670283,1
PAMR1,Inactive serine protease PAMR1,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,-0.046667785527908,0.1348160726766316,0.0332613057082369,0.1980818661288776,0,0.0,-0.4080685283854984,0.7227626377224122,0.3218702561937689,1
ANGPTL5,Angiopoietin-related protein 5,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,-0.0808366471592571,0.1549911379856047,0.0137634486731216,0.2400197737509333,0,0.0,-0.5833401882073362,0.6186818731387558,0.3447039156413975,1
FAM20C,Extracellular serine/threonine protein kinase FAM20C,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,0.0887169725434953,0.2219672638691674,0.0887169725434953,0.313909114966624,0,0.0,,,0.2074908440339755,0
LTBP4,Latent-transforming growth factor beta-binding protein 4,ECM Glycoproteins,Core matrisome,8,8,0.625,DOWN,3,5,-0.1444789789705346,0.2798147223073053,-0.1633139166987432,0.3263908626295872,1,0.125,-1.2520211496841418,0.250773581261543,0.5065032265666572,2
CTHRC1,Collagen triple helix repeat-containing protein 1,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,-0.0199533353755559,0.1519501616043406,0.0246318262598063,0.1960750207042418,0,0.0,-0.2035275610721821,0.8517461705368684,0.265434017347178,0
BCAN,Brevican core protein,Proteoglycans,Core matrisome,3,3,0.6666666666666666,UP,2,1,-0.0864144635876187,0.2439911172113921,0.0061797729401059,0.3716508431269875,0,0.0,-0.4027281094891125,0.7261170334806593,0.3321168814955956,1
HMCN1,Hemicentin-1,ECM Glycoproteins,Core matrisome,5,5,0.6,DOWN,2,3,-0.261952354895305,0.5690803011334863,-0.2550801405335872,0.7248558858907651,1,0.2,-0.808082384117279,0.4643590176939899,0.4322715206921976,1
OMD,Osteomodulin,Proteoglycans,Core matrisome,4,4,0.75,UP,3,1,0.2107391408632818,0.3279349446137328,0.2524641177920562,0.3328870571698856,1,0.25,1.2661299760641231,0.2948480834409969,0.4694121130672914,2
SEMA3C,Semaphorin-3C,ECM-affiliated Proteins,Matrisome-associated,5,5,0.6,UP,3,2,0.0710266671149842,0.185439675899139,0.094134458984347,0.2288116841584269,0,0.0,0.6941099029470367,0.5258169178804251,0.3816158781314759,1
SMOC2,SPARC-related modular calcium-binding protein 2,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.0196641113225005,0.1400568790035094,-0.0321625376326877,0.1943057623717692,0,0.0,-0.175286823615118,0.8769947456934497,0.2915479152322492,1
SMOC1,SPARC-related modular calcium-binding protein 1,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,UP,2,1,0.1615638362717971,0.1850378132284267,0.0410521722049294,0.277411323782935,0,0.0,1.0087431517664176,0.4192991728452908,0.3875851232243728,1
SPON1,Spondin-1,ECM Glycoproteins,Core matrisome,5,5,0.6,DOWN,2,3,0.1394209789913484,0.4004210942018941,-0.006742551149379,0.6461486413799551,1,0.2,0.4824815321880464,0.6546788029202083,0.3773416429537948,1
MXRA5,Matrix-remodeling-associated protein 5,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.2681169061886037,0.4281269107814541,-0.2220321320183796,0.5233072623775057,1,0.25,-1.0247016445767894,0.3809137942379657,0.4622181675246699,2
LTBP3,Latent-transforming growth factor beta-binding protein 3,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,-0.0452385597655393,0.2182902846654981,-0.0622590116108572,0.2825203499647175,0,0.0,-0.3202499202000064,0.769788163238904,0.2884596311128867,0
CTSF,Cathepsin F,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.11306811968862,0.3734137666701283,0.1869953308084793,0.4709946222260624,1,0.3333333333333333,0.4158003484017956,0.7179240981738557,0.3466977335028299,1
PCOLCE2,Procollagen C-endopeptidase enhancer 2,ECM Glycoproteins,Core matrisome,4,4,0.75,UP,3,1,0.0334206995224196,0.0877028868166176,0.0374015839167125,0.1168335880383476,0,0.0,0.5721077317500531,0.6073085570643479,0.3828968125629097,2
KERA,Keratocan,Proteoglycans,Core matrisome,2,2,0.5,DOWN,1,1,-0.1937157832247484,0.2571112745404016,-0.1937157832247484,0.3636102514940682,0,0.0,,,0.211005245101099,0
C1QC,Complement C1q subcomponent subunit C,ECM-affiliated Proteins,Matrisome-associated,6,6,0.6666666666666666,UP,4,2,0.1299329110005991,0.2338686092703056,0.2434443419780186,0.2369101814001077,0,0.0,1.3434177073564235,0.2368835646956161,0.4818925009290838,2
S100B,Protein S100-B,Secreted Factors,Matrisome-associated,3,3,0.6666666666666666,DOWN,1,2,0.0453805373201942,0.0966970330467256,-0.0148910144414288,0.1471674781273534,0,0.0,0.5340948782538307,0.6466941267114924,0.3332720544329622,1
VWF,von Willebrand factor;von Willebrand antigen 2,ECM Glycoproteins,Core matrisome,7,7,0.5714285714285714,UP,4,3,0.0800919956885579,0.4810981405453435,0.0868865065386179,0.595737355299691,3,0.4285714285714285,0.3556995389221173,0.7342371011439615,0.3962203770190193,1
SERPINA7,Thyroxine-binding globulin,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.3637666045159409,0.6766329230228404,0.7230651898134843,0.7237230865564152,2,0.6666666666666666,0.8705846929885241,0.4757718049805959,0.4254501077767531,1
MGP,Matrix Gla protein,ECM Glycoproteins,Core matrisome,5,5,0.6,DOWN,2,3,0.0064122725289885,0.4617954799429277,-0.2190044697280564,0.5890386080762449,1,0.2,0.0243418293274539,0.9817458812686344,0.3180656658582129,1
COL4A2,Collagen alpha-2(IV) chain;Canstatin,Collagens,Core matrisome,9,9,0.5555555555555556,DOWN,4,5,-0.0069643507528001,0.2265082073099546,-0.0017271963730299,0.3762058657705022,2,0.2222222222222222,-0.0555362214132667,0.9570732182669488,0.356726373156037,1
MBL2,Mannose-binding protein C,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0902223266833491,0.2813851250433281,0.1681494886818825,0.3446744428601868,0,0.0,0.4533833506652737,0.6947142889129181,0.3421368311923374,1
