Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference,Oscillation_Score,Up_Fraction,Down_Fraction,Perfect_Balance_Score
AGT,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.1892458821402877,0.5877549283277896,0.0945860398709308,0.9496421422976392,3,0.375,-0.5636525196712946,0.5905820630198442,0.4318355508170454,0,0.5,0.5,0.5,1.0
Fgb,,ECM Glycoproteins,Core matrisome,8,8,0.5,DOWN,4,4,-0.0477207001371564,0.2262795981734761,-0.0706011965849384,0.3086131841024174,1,0.125,-0.4373582517946456,0.6750273234006414,0.3787989657254546,0,0.5,0.5,0.5,1.0
LGALS1,Galectin-1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.5,DOWN,5,5,-0.0559083525359721,0.4311183227549121,0.0180107721561027,0.5822243820451228,4,0.4,-0.3036591041074279,0.7682904446307797,0.4159243315846294,0,0.5,0.5,0.5,1.0
NID1,Nidogen-1,ECM Glycoproteins,Core matrisome,10,10,0.5,DOWN,5,5,-0.1104290606170093,0.2000382640531593,-0.0299879051610444,0.2899229371042425,1,0.1,-1.204483353095274,0.2591208770677285,0.4946502392270644,0,0.5,0.5,0.5,1.0
LAMB2,Laminin subunit beta-2,ECM Glycoproteins,Core matrisome,11,11,0.5454545454545454,DOWN,5,6,-0.2335506270130718,0.2749069109031718,-0.0479378962758483,0.357801064927459,2,0.1818181818181818,-2.1648895860934476,0.0556482138689461,0.5741150590117151,1,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.9090909090909091
COL4A2,Collagen alpha-2(IV) chain;Canstatin,Collagens,Core matrisome,9,9,0.5555555555555556,DOWN,4,5,-0.0069643507528001,0.2265082073099546,-0.0017271963730299,0.3762058657705022,2,0.2222222222222222,-0.0555362214132667,0.9570732182669488,0.356726373156037,1,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.8888888888888888
CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,ECM Regulators,Matrisome-associated,9,9,0.5555555555555556,DOWN,4,5,0.1435097671118264,0.3145532802101764,-0.0290912286613251,0.4018572411649842,2,0.2222222222222222,1.071348870278845,0.3152660626676399,0.4938923115659209,1,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.8888888888888888
MFGE8,Lactadherin;Lactadherin short form;Medin,ECM Glycoproteins,Core matrisome,9,9,0.5555555555555556,DOWN,4,5,0.043157739832895,0.2007148551636531,-0.0047788523395169,0.2643216613376485,1,0.1111111111111111,0.4898320434407911,0.6374019542510385,0.4180812907445889,1,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.8888888888888888
TNC,Tenascin,ECM Glycoproteins,Core matrisome,9,10,0.6,DOWN,4,6,-0.1542580040757731,0.2662055230364394,-0.0836305260789128,0.3410931081666324,2,0.2,-1.4301275180050677,0.186465008921272,0.5281510799311543,2,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.7777777777777778
DCN,Decorin,Proteoglycans,Core matrisome,10,10,0.6,UP,6,4,0.0186294374682447,0.2582169207668651,0.0783195075198708,0.313938612217254,1,0.1,0.1876527818966273,0.8553113634096566,0.4112300076300492,2,0.4,0.6,0.4,0.8
S100A9,Protein S100-A9,Secreted Factors,Matrisome-associated,10,10,0.6,UP,6,4,0.2239860681215156,0.4071070412676897,0.2161125970668396,0.4435582989056633,4,0.4,1.596872702319262,0.1447585169365037,0.5682295889747624,2,0.4,0.6,0.4,0.8
COL1A1,Collagen alpha-1(I) chain,Collagens,Core matrisome,10,10,0.6,UP,6,4,-0.0441649887012135,0.2651819869354644,0.1243111008304525,0.3489593599247935,2,0.2,-0.4002241325796104,0.6983248269063533,0.4433238215475699,2,0.4,0.6,0.4,0.8
SERPINF2,Alpha-2-antiplasmin,ECM Regulators,Matrisome-associated,10,10,0.6,UP,6,4,0.521004156470529,0.6283144136521013,0.1971549088601702,0.787460544615956,4,0.4,2.09224426052373,0.0659428600764335,0.6061134575852175,2,0.4,0.6,0.4,0.8
LGALS3,Galectin-3,ECM-affiliated Proteins,Matrisome-associated,10,10,0.6,DOWN,4,6,-0.1779895227943936,0.4057232854677137,-0.0964836969728122,0.5443299047881727,4,0.4,-1.0340278693594411,0.3281073940026857,0.5314214379815283,2,0.4,0.4,0.6,0.8
LAMA5,Laminin subunit alpha-5,ECM Glycoproteins,Core matrisome,10,10,0.6,DOWN,4,6,-0.0808629079353108,0.1924247971540885,-0.0129435571075107,0.2530408625505566,0,0.0,-1.0105520694271102,0.3386262837549798,0.507987811199707,2,0.4,0.4,0.6,0.8
ANXA11,Annexin A11,ECM-affiliated Proteins,Matrisome-associated,10,10,0.6,DOWN,4,6,-0.171797866026779,0.2378146270376775,-0.0494338957247462,0.3387113010342562,1,0.1,-1.6039398512603469,0.1431905912285574,0.5516139326933504,2,0.4,0.4,0.6,0.8
Lum,,Proteoglycans,Core matrisome,8,8,0.625,UP,5,3,-0.0482413074345169,0.1820421595986188,0.0988371529333303,0.3242306362883575,1,0.125,-0.420833219349628,0.6864960815943004,0.4095814702292371,2,0.375,0.625,0.375,0.75
Fgg,,ECM Glycoproteins,Core matrisome,8,8,0.625,DOWN,3,5,0.0023504841203905,0.2851255222319906,-0.1156199293815231,0.3362982886170765,1,0.125,0.0197686793760871,0.9847795878618544,0.3602331052390635,2,0.375,0.375,0.625,0.75
CXCL12,Stromal cell-derived factor 1;SDF-1-beta(3-72);SDF-1-alpha(3-67),Secreted Factors,Matrisome-associated,8,8,0.625,UP,5,3,0.4329792386839988,0.6786329353667202,0.3432896281111265,0.8459624141027665,3,0.375,1.447641411403188,0.1909769167580083,0.5583443807733057,2,0.375,0.625,0.375,0.75
Serpina1d,,ECM Regulators,Matrisome-associated,8,8,0.625,UP,5,3,-0.0214481402465371,0.2335822949182672,0.0300450246497947,0.3326842848350444,1,0.125,-0.1823485641311421,0.8604776901584648,0.379939162048369,2,0.375,0.625,0.375,0.75
Lama2,,ECM Glycoproteins,Core matrisome,8,8,0.625,UP,5,3,0.0379502684799395,0.1659651258831074,0.02433561603046,0.2576622548065507,1,0.125,0.4165901941696911,0.6894553448506873,0.4073819142064085,2,0.375,0.625,0.375,0.75
Anxa5,,ECM-affiliated Proteins,Matrisome-associated,8,8,0.625,DOWN,3,5,0.0716201207780853,0.2015194270960598,-0.0545310977378608,0.3980666555036617,1,0.125,0.5088903817628887,0.6264728140587958,0.4235338504860821,2,0.375,0.375,0.625,0.75
Fga,,ECM Glycoproteins,Core matrisome,8,8,0.625,DOWN,3,5,-0.1182775452412216,0.1941818951748224,-0.2260916658213332,0.1900235570436497,0,0.0,-1.7605154982538282,0.1217106627994419,0.5237525275458291,2,0.375,0.375,0.625,0.75
Col6a2,,Collagens,Core matrisome,8,8,0.625,UP,5,3,0.1105574980454881,0.3346362166679231,0.1331581633605601,0.4196859846794346,3,0.375,0.7450899904479363,0.4804805106533597,0.4660439901243556,2,0.375,0.625,0.375,0.75
Col3a1,,Collagens,Core matrisome,8,8,0.625,DOWN,3,5,-0.257804944594787,0.3497056517328421,-0.0726765851004893,0.4485422856132366,3,0.375,-1.6256716960111417,0.1480465484100719,0.5340377260795052,2,0.375,0.375,0.625,0.75
Serpinb1a,,ECM Regulators,Matrisome-associated,8,8,0.625,DOWN,3,5,-0.0328194659144691,0.157722405412207,-0.0640974391411672,0.2034579414528468,0,0.0,-0.4562489276619419,0.6620293989549729,0.4120428313384614,2,0.375,0.375,0.625,0.75
Tinagl1,,ECM Glycoproteins,Core matrisome,8,8,0.625,UP,5,3,0.0776137396952192,0.1770202627325252,0.0769214827298268,0.2441083056203926,1,0.125,0.8992926563847704,0.3983751127082489,0.466703474319838,2,0.375,0.625,0.375,0.75
Lama4,,ECM Glycoproteins,Core matrisome,8,8,0.625,DOWN,3,5,-0.1406565243346716,0.1578404000290808,-0.0905305346380208,0.185235934237075,0,0.0,-2.1477297606388546,0.0688440238498716,0.5306917058211691,2,0.375,0.375,0.625,0.75
Prelp,,Proteoglycans,Core matrisome,8,8,0.625,UP,5,3,-0.0056866110061061,0.2201617022196602,0.0974840011226474,0.2954880395856085,1,0.125,-0.0544325409587042,0.9581115127781232,0.3590703382545766,2,0.375,0.625,0.375,0.75
