Protein_ID,Protein_Name,Gene_Symbol,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Match_Level,Match_Confidence
A0A075B7B8,Protein IGHV3OR16-12 (Fragment) OS=Homo sapiens GN=IGHV3OR16-12 PE=1 SV=1,IGHV3OR16-12,Kidney_Glomerular,Glomerular,Homo sapiens,972.1082185126353,2348.90354450135,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7B8,Protein IGHV3OR16-12 (Fragment) OS=Homo sapiens GN=IGHV3OR16-12 PE=1 SV=1,IGHV3OR16-12,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,767.7992993786247,2595.289210751142,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7C0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,CAPNS1,Kidney_Glomerular,Glomerular,Homo sapiens,1159.0218030816368,1326.03272834146,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7C0,Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1,CAPNS1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1041.752768839153,965.490848552788,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7D9,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15,Kidney_Glomerular,Glomerular,Homo sapiens,28987.751599863568,38430.48627691321,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A075B7D9,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,3550.0308111374766,7218.763765209787,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WSY9,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2",TXNRD1,Kidney_Glomerular,Glomerular,Homo sapiens,47498.740735416104,46021.4585672383,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WSY9,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2",TXNRD1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,24179.419478532232,10752.148819368684,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WSZ2,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=1,ACTN3,Kidney_Glomerular,Glomerular,Homo sapiens,47393.76626932367,56880.72118788567,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WSZ2,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=1,ACTN3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,17561.744676957693,52390.986787967035,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WT12,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=1,GPX4,Kidney_Glomerular,Glomerular,Homo sapiens,33726.664292938665,34760.66690529964,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WT12,Glutathione peroxidase OS=Homo sapiens GN=GPX4 PE=1 SV=1,GPX4,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,5301.91935734292,13100.944637487764,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WT59,Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,TTR,Kidney_Glomerular,Glomerular,Homo sapiens,57224.40830983797,37874.26258130534,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WT59,Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,TTR,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,51224.833604373365,30266.279285557433,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,COL1A2,Kidney_Glomerular,Glomerular,Homo sapiens,5897188.0502754375,8683829.352821417,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,COL1A2,Collagens,Core matrisome,exact_gene,100
A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=1,COL1A2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,9746025.348132012,7616448.234505519,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,COL1A2,Collagens,Core matrisome,exact_gene,100
A0A087WTI1,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,RAB1B,Kidney_Glomerular,Glomerular,Homo sapiens,9374.467194218052,5368.936762381613,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WTI1,Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,RAB1B,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,12194.92357427963,23814.157224397848,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WTZ4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1,1,Kidney_Glomerular,Glomerular,Homo sapiens,3873.4156122650525,2045.967758850182,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WTZ4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=1 SV=1,1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6350.479985993149,17050.247826227536,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=1,ERGIC2,Kidney_Glomerular,Glomerular,Homo sapiens,3014.2310967366266,1261.5879247272048,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU02,Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Homo sapiens GN=ERGIC2 PE=1 SV=1,ERGIC2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1978.5213090101934,1513.4567436273974,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU08,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1,HP,Kidney_Glomerular,Glomerular,Homo sapiens,2191.7626144954497,2720.86981915275,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU08,Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1,HP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,771.1382520739425,1470.6322126556936,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU70,Carbohydrate sulfotransferase 13 OS=Homo sapiens GN=CHST13 PE=1 SV=1,CHST13,Kidney_Glomerular,Glomerular,Homo sapiens,3351.1555391223733,6841.482918591671,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WU70,Carbohydrate sulfotransferase 13 OS=Homo sapiens GN=CHST13 PE=1 SV=1,CHST13,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2774.279415370573,3366.496259815267,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,FGA,Kidney_Glomerular,Glomerular,Homo sapiens,10928.73399122053,13389.331638065769,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGA,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WUA0,Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=1,FGA,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,17800.525209369367,13746.652388538767,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGA,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WUA5,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,EHD4,Kidney_Glomerular,Glomerular,Homo sapiens,5271.064953511251,8706.26941474805,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUA5,EH domain-containing protein 4 OS=Homo sapiens GN=EHD4 PE=1 SV=1,EHD4,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,11438.527592197424,12994.054586869543,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUB9,Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1,CTNNBL1,Kidney_Glomerular,Glomerular,Homo sapiens,515661.5003652617,424403.23068250035,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUB9,Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1,CTNNBL1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,505639.1995823977,466594.9703363413,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUC6,Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=1,SPCS2,Kidney_Glomerular,Glomerular,Homo sapiens,1357.7889105756267,1618.1926019457499,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUC6,Signal peptidase complex subunit 2 OS=Homo sapiens GN=SPCS2 PE=1 SV=1,SPCS2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2053.9151626597736,1357.1848368625924,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUD3,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1,OSTC,Kidney_Glomerular,Glomerular,Homo sapiens,894.7081067305144,1578.8812964279675,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUD3,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens GN=OSTC PE=1 SV=1,OSTC,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1574.5594857789008,3640.897793623197,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUF0,Docosahexaenoic acid omega-hydroxylase CYP4F3 OS=Homo sapiens GN=CYP4F3 PE=1 SV=1,CYP4F3,Kidney_Glomerular,Glomerular,Homo sapiens,494.83959630152464,228.05593377015498,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUF0,Docosahexaenoic acid omega-hydroxylase CYP4F3 OS=Homo sapiens GN=CYP4F3 PE=1 SV=1,CYP4F3,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,536.1855519212346,769.8461586573827,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUF6,Fibroblast growth factor OS=Homo sapiens GN=FGF2 PE=1 SV=1,FGF2,Kidney_Glomerular,Glomerular,Homo sapiens,6755.423979781157,9685.149335194534,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGF2,Secreted Factors,Matrisome-associated,exact_gene,100
A0A087WUF6,Fibroblast growth factor OS=Homo sapiens GN=FGF2 PE=1 SV=1,FGF2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1492.7247605161613,3773.316268442102,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,FGF2,Secreted Factors,Matrisome-associated,exact_gene,100
A0A087WUK2,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1,HNRNPDL,Kidney_Glomerular,Glomerular,Homo sapiens,16657.248010482832,11558.562327610665,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUK2,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1,HNRNPDL,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,23509.148738347703,26116.20792346433,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUL0,Triokinase/FMN cyclase OS=Homo sapiens GN=TKFC PE=1 SV=1,TKFC,Kidney_Glomerular,Glomerular,Homo sapiens,3068.0189857601395,4953.592602044253,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUL0,Triokinase/FMN cyclase OS=Homo sapiens GN=TKFC PE=1 SV=1,TKFC,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6832.1743833607825,8933.969243706757,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUM3,BTB/POZ domain-containing protein KCTD14 OS=Homo sapiens GN=KCTD14 PE=1 SV=1,KCTD14,Kidney_Glomerular,Glomerular,Homo sapiens,2864.258429270407,5272.09155293926,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUM3,BTB/POZ domain-containing protein KCTD14 OS=Homo sapiens GN=KCTD14 PE=1 SV=1,KCTD14,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,1590.743295907116,1427.365186771949,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUQ6,Glutathione peroxidase OS=Homo sapiens GN=GPX1 PE=1 SV=1,GPX1,Kidney_Glomerular,Glomerular,Homo sapiens,5821.222963720983,11031.670130662373,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUQ6,Glutathione peroxidase OS=Homo sapiens GN=GPX1 PE=1 SV=1,GPX1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,4239.694095182486,15784.475702274527,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUS0,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,RPS24,Kidney_Glomerular,Glomerular,Homo sapiens,2017.5398689074616,1627.3715860460277,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUS0,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,RPS24,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,671.6029158492003,757.4904875114461,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUT0,Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=1,MYEF2,Kidney_Glomerular,Glomerular,Homo sapiens,3479.5208351147835,2131.1047509019268,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUT0,Myelin expression factor 2 OS=Homo sapiens GN=MYEF2 PE=1 SV=1,MYEF2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,8872.481246784793,9815.70154839237,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUY4,Cytochrome P450 4A22 OS=Homo sapiens GN=CYP4A22 PE=1 SV=1,CYP4A22,Kidney_Glomerular,Glomerular,Homo sapiens,4347.917209988437,2425.210319226733,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUY4,Cytochrome P450 4A22 OS=Homo sapiens GN=CYP4A22 PE=1 SV=1,CYP4A22,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,6445.767099226043,3680.83114490948,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUZ3,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1",SPTBN1,Kidney_Glomerular,Glomerular,Homo sapiens,12390.4278240394,13089.364431228663,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUZ3,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1",SPTBN1,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,9946.618911946212,13870.858013258658,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUZ8,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=1",MRPS34,Kidney_Glomerular,Glomerular,Homo sapiens,10744.154431894533,4498.195045746973,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WUZ8,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=1",MRPS34,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,2359.67496727937,2240.86549542654,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV24,Aromatic-L-amino-acid decarboxylase OS=Homo sapiens GN=DDC PE=1 SV=1,DDC,Kidney_Glomerular,Glomerular,Homo sapiens,24078.8728422806,13632.976458267867,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV24,Aromatic-L-amino-acid decarboxylase OS=Homo sapiens GN=DDC PE=1 SV=1,DDC,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,70567.17313924343,38530.76223922491,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV68,TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=1 SV=1,TARDBP,Kidney_Glomerular,Glomerular,Homo sapiens,39913.31251705147,32138.04318392955,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV68,TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=1 SV=1,TARDBP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,41558.429572988265,63738.4395549048,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV90,Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=1,DMD,Kidney_Glomerular,Glomerular,Homo sapiens,276864.68563076935,210477.45705649068,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WV90,Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=1,DMD,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,256494.754934994,226997.3634589837,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVA8,Testis-expressed sequence 2 protein OS=Homo sapiens GN=TEX2 PE=1 SV=1,TEX2,Kidney_Glomerular,Glomerular,Homo sapiens,26649.505017894164,29547.132839706133,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVA8,Testis-expressed sequence 2 protein OS=Homo sapiens GN=TEX2 PE=1 SV=1,TEX2,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,34356.566339217934,32583.58479407667,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVD1,Leukocyte receptor cluster member 9 OS=Homo sapiens GN=LENG9 PE=1 SV=1,LENG9,Kidney_Glomerular,Glomerular,Homo sapiens,7806.2423640451525,5534.232350907713,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVD1,Leukocyte receptor cluster member 9 OS=Homo sapiens GN=LENG9 PE=1 SV=1,LENG9,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,16088.0150349635,22352.280702409433,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVQ6,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,CLTC,Kidney_Glomerular,Glomerular,Homo sapiens,324645.471565662,278589.40370111336,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVQ6,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1,CLTC,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,730044.848329977,566427.4659194824,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,KCP,Kidney_Glomerular,Glomerular,Homo sapiens,5755.344276571047,12462.172447268938,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,KCP,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,KCP,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,5319.909003012803,6613.245958216066,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,KCP,ECM Glycoproteins,Core matrisome,exact_gene,100
A0A087WVZ9,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=1",POLR2E,Kidney_Glomerular,Glomerular,Homo sapiens,55899.18082667814,32827.9985052915,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WVZ9,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens GN=POLR2E PE=1 SV=1",POLR2E,Kidney_Tubulointerstitial,Tubulointerstitial,Homo sapiens,95160.00511414628,84254.24992488457,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
A0A087WW63,Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Homo sapiens GN=CACNA1A PE=1 SV=1,CACNA1A,Kidney_Glomerular,Glomerular,Homo sapiens,387848.9587668153,475538.1976410667,Label-free LC-MS/MS (Progenesis + Mascot),Randles_2021,,,,unmatched,0
