Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Dataset_Name,Organ,Compartment,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
Q8CFG0,Extracellular sulfatase Sulf-2 (mSulf-2) (EC 3.1.6.-),Sulf2,Sulf2,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.428949251456782,17.12939761387062,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P82198,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3),Tgfbi,Tgfbi,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,17.01930343811368,17.46992634921812,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61704,Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3),Itih3,Itih3,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.16286052326324,16.68686452207576,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8K4G1,Latent-transforming growth factor beta-binding protein 4 (LTBP-4),Ltbp4,Ltbp4,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.567127395837836,14.063582633767762,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P18242,Cathepsin D (EC 3.4.23.5),Ctsd,Ctsd,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.87831715801714,17.29976259991266,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
O70370,Cathepsin S (EC 3.4.22.27),Ctss,Ctss,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.40122166926256,16.957164897973037,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q62000,Mimecan (Osteoglycin),Ogn,Ogn,Proteoglycans,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.81340296824593,17.353638066162667,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P49300,C-type lectin domain family 10 member A (MMGL) (Macrophage asialoglycoprotein-binding protein 1) (M-ASGP-BP-1) (Macrophage galactose/N-acetylgalactosamine-specific lectin),Clec10a,Clec10a,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.85608786919881,15.380063410966791,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61508,Extracellular matrix protein 1 (Secretory component p85),Ecm1,Ecm1,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.977774780818102,16.3771430057375,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P02463,Collagen alpha-1(IV) chain [Cleaved into: Arresten],Col4a1,Col4a1,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.06770034115813,16.418667510926667,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P10605,Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],Ctsb,Ctsb,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.114603778356088,15.558656598970114,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q9R118,Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (Serine protease 11),Htra1,Htra1,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,13.598086489685482,14.182869240020917,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q9WVH9,Fibulin-5 (FIBL-5) (Developmental arteries and neural crest EGF-like protein) (Dance),Fbln5,Fbln5,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.261899590716496,15.697331430300904,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8R2Z5,von Willebrand factor A domain-containing protein 1 (von Willebrand factor A domain-related protein),Vwa1,Vwa1,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.645723651150737,15.990916844974064,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q9EPX2,Papilin,Papln,Papln,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.73924153480736,15.028353403085239,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q80X19,Collagen alpha-1(XIV) chain,Col14a1,Col14a1,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.538814864499388,14.925022908102212,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q91WP6,Serine protease inhibitor A3N (Serpin A3N),Serpina3n,Serpina3n,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.735025010418706,17.10958717353009,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P28654,Decorin (Bone proteoglycan II) (PG-S2) (PG40),Dcn,Dcn,Proteoglycans,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.34692072695663,16.732048125766372,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P08122,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],Col4a2,Col4a2,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.838131558998755,16.101885092113644,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q91WP0,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],Masp2,Masp2,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.887751594935452,16.28218629915815,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q60715,"Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)",P4ha1,P4ha1,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.560683969044176,15.297168579059024,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P39061,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)],Col18a1,Col18a1,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.091320558789203,16.438536017681198,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61703,Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2),Itih2,Itih2,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,17.938595377230342,18.36288024013306,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8CJH3,Plexin-B1,Plxnb1,Plxnb1,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.240720878205524,14.515347925022875,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8BPB5,EGF-containing fibulin-like extracellular matrix protein 1 (Fibulin-3) (FIBL-3),Efemp1,Efemp1,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.20488100428288,14.84449514058632,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P29788,Vitronectin (VN) (S-protein) (Serum-spreading factor),Vtn,Vtn,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.632261600622149,16.151370221754252,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8R121,Protein Z-dependent protease inhibitor (PZ-dependent protease inhibitor) (PZI) (Serpin A10),Serpina10,Serpina10,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.17484144535676,14.58194574101264,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q99MQ4,Asporin (Periodontal ligament-associated protein 1) (PLAP-1),Aspn,Aspn,Proteoglycans,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,17.06739103508959,17.309691527999615,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P33434,72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) [Cleaved into: PEX],Mmp2,Mmp2,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.27196873748408,14.54784478659652,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
O08573,Galectin-9 (Gal-9),Lgals9,Lgals9,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.560173306716585,15.205001883426814,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P07214,SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine),Sparc,Sparc,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.228026774743961,13.86937275468104,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P19324,Serpin H1 (47 kDa heat shock protein) (Collagen-binding protein) (Colligin) (Serine protease inhibitor J6),Serpinh1,Serpinh1,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,17.158793692632173,16.907103306936428,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8CG19,Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta1-BP-1),Ltbp1,Ltbp1,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,13.354567132787121,13.706172372607877,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P39039,Mannose-binding protein A (MBP-A) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28B) (RaRF p28B),Mbl1,Mbl1,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.776962215575546,16.333634741958655,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q07235,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serine protease-inhibitor 4) (Serpin E2),Serpine2,Serpine2,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.175413551568047,15.869077698349551,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
B2RXS4,Plexin-B2,Plxnb2,Plxnb2,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.434376917374664,16.24125007241014,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8BWY2,C-type lectin domain family 1 member A,Clec1a,Clec1a,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.880125970570354,15.094836087242847,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
O08800,Serpin B8,Serpinb8,Serpinb8,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.316964771657254,15.520184769106145,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P06797,Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) (p39 cysteine proteinase) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain],Ctsl,Ctsl,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.981234690022806,15.301170190788994,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61292,Laminin subunit beta-2 (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta),Lamb2,Lamb2,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.612340676579542,16.80514745063826,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P16675,Lysosomal protective protein (EC 3.4.16.5) (Carboxypeptidase C) (Carboxypeptidase L) (Cathepsin A) (Protective protein cathepsin A) (PPCA) (Protective protein for beta-galactosidase) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain],Ctsa,Ctsa,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.609609510155728,16.835444800934674,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q80YC5,Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Coagulation factor XIIa light chain],F12,F12,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,13.882358611548522,14.126671141774079,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61001,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),Lama5,Lama5,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.64082453940711,15.859983916714292,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P28653,Biglycan (Bone/cartilage proteoglycan I) (PG-S1),Bgn,Bgn,Proteoglycans,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.77426245995234,17.02409511046166,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P32261,Antithrombin-III (ATIII) (Serpin C1),Serpinc1,Serpinc1,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.658784185083793,16.997778501022008,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P56565,Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1),S100a1,S100a1,Secreted Factors,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.275506291338594,16.54402342154721,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61702,Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1),Itih1,Itih1,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.646077638601165,15.860711836340434,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q61838,Pregnancy zone protein (Alpha-2-macroglobulin) (Alpha-2-M) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit],Pzp,Pzp,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.947185979149793,17.368532368123404,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q07456,Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin],Ambp,Ambp,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.85511503516676,15.319243677140639,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P10107,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35),Anxa1,Anxa1,ECM-affiliated Proteins,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.829231351440736,16.042350770915064,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P21981,Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Tissue transglutaminase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase-2) (TGase-2),Tgm2,Tgm2,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.37759390426109,16.595826022574713,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q01149,Collagen alpha-2(I) chain (Alpha-2 type I collagen),Col1a2,Col1a2,Collagens,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.353671932006677,17.20250747480572,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P70377,Fibroblast growth factor 13 (FGF-13) (Fibroblast growth factor homologous factor 2) (FHF-2),Fgf13,Fgf13,Secreted Factors,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,17.414574606443136,17.66174772848426,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
O35598,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),Adam10,Adam10,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.205092401196866,15.079743221643133,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q8C4U3,Secreted frizzled-related protein 1 (sFRP-1),Sfrp1,Sfrp1,Secreted Factors,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,14.82252923343259,15.08100940468941,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q91YE3,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),Egln1,Egln1,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.480504719719484,15.685684322672717,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q9QZZ6,Dermatopontin (Early quiescence protein 1) (EQ-1) (Tyrosine-rich acidic matrix protein) (TRAMP),Dpt,Dpt,ECM Glycoproteins,Core matrisome,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.73011466416301,17.134733002167586,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
P11859,Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4],Agt,Agt,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,15.148268589751865,15.563161206726935,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
Q03734,Serine protease inhibitor A3M (Serpin A3M),Serpina3m,Serpina3m,ECM Regulators,Matrisome-associated,Santinha_2024_Mouse_NT,Heart,Native_Tissue,Heart_Native_Tissue,Native_Tissue,Mus musculus,16.317730631081748,16.62878441882545,TMT-10plex LC-MS/MS,Santinha_2024_Mouse_NT,1.0,100.0
